Episode 172 | Loss: 0.697 | Policy: 0.508 | Value: 0.379 | Reward: -50.03
Episode 173 | Loss: 0.088 | Policy: 0.081 | Value: 0.013 | Reward: -30.04
Episode 174 | Loss: 0.117 | Policy: 0.107 | Value: 0.021 | Reward: -40.03
Episode 175 | Loss: 0.036 | Policy: -0.083 | Value: 0.239 | Reward: -30.03
Episode 176 | Loss: 0.251 | Policy: -0.106 | Value: 0.714 | Reward: -20.04
Episode 177 | Loss: 0.055 | Policy: -0.103 | Value: 0.318 | Reward: -30.03
Episode 178 | Loss: 0.069 | Policy: -0.063 | Value: 0.269 | Reward: -20.04
Episode 179 | Loss: 0.102 | Policy: 0.098 | Value: 0.016 | Reward: -30.03
Episode 180 | Loss: 0.583 | Policy: 0.443 | Value: 0.289 | Reward: -40.03
Episode 181 | Loss: 0.066 | Policy: 0.065 | Value: 0.009 | Reward: -20.04
Episode 182 | Loss: 0.048 | Policy: 0.048 | Value: 0.007 | Reward: -30.03
Episode 183 | Loss: -0.032 | Policy: -0.083 | Value: 0.110 | Reward: -30.03
Episode 184 | Loss: -0.002 | Policy: -0.114 | Value: 0.233 | Reward: -30.03
Episode 185 | Loss: -0.016 | Policy: -0.102 | Value: 0.181 | Reward: -30.03
Episode 186 | Loss: -0.039 | Policy: -0.051 | Value: 0.034 | Reward: -30.03
Episode 187 | Loss: 0.485 | Policy: 0.379 | Value: 0.221 | Reward: -40.03
Episode 188 | Loss: 1.132 | Policy: 0.738 | Value: 0.798 | Reward: -50.03
Episode 189 | Loss: 0.683 | Policy: 0.502 | Value: 0.374 | Reward: -40.03
Episode 190 | Loss: 0.149 | Policy: 0.139 | Value: 0.030 | Reward: -30.04
Episode 191 | Loss: -0.003 | Policy: -0.003 | Value: 0.011 | Reward: -40.03
Episode 192 | Loss: 0.052 | Policy: -0.090 | Value: 0.293 | Reward: -30.04
Episode 193 | Loss: 0.295 | Policy: -0.082 | Value: 0.762 | Reward: -20.03
Episode 194 | Loss: 0.112 | Policy: -0.042 | Value: 0.313 | Reward: -30.03
Episode 195 | Loss: 0.083 | Policy: 0.026 | Value: 0.117 | Reward: -30.03
Episode 196 | Loss: 0.576 | Policy: 0.439 | Value: 0.276 | Reward: -40.03
Episode 197 | Loss: 0.902 | Policy: 0.617 | Value: 0.573 | Reward: -40.03
Episode 198 | Loss: 0.929 | Policy: 0.630 | Value: 0.599 | Reward: -40.04
Episode 199 | Loss: 0.320 | Policy: 0.239 | Value: 0.162 | Reward: -30.03
Episode 200 | Loss: 0.126 | Policy: 0.087 | Value: 0.078 | Reward: -30.03
Episode 201 | Loss: 0.065 | Policy: 0.015 | Value: 0.099 | Reward: -30.03
Episode 202 | Loss: 0.033 | Policy: 0.003 | Value: 0.060 | Reward: -30.03
Episode 203 | Loss: 0.241 | Policy: 0.208 | Value: 0.065 | Reward: -40.03
Episode 204 | Loss: 0.041 | Policy: 0.038 | Value: 0.005 | Reward: -30.03
Episode 205 | Loss: 0.054 | Policy: 0.045 | Value: 0.018 | Reward: -40.03
Episode 206 | Loss: -0.057 | Policy: -0.106 | Value: 0.098 | Reward: -40.04
Episode 207 | Loss: 0.044 | Policy: -0.133 | Value: 0.354 | Reward: -30.03
Episode 208 | Loss: 0.013 | Policy: -0.124 | Value: 0.273 | Reward: -30.03
Episode 209 | Loss: -0.041 | Policy: -0.085 | Value: 0.089 | Reward: -30.03
Episode 210 | Loss: 0.333 | Policy: 0.262 | Value: 0.143 | Reward: -40.04
Episode 211 | Loss: 0.560 | Policy: 0.414 | Value: 0.293 | Reward: -40.03
Episode 212 | Loss: 0.307 | Policy: 0.248 | Value: 0.117 | Reward: -30.03
Episode 213 | Loss: 0.110 | Policy: 0.092 | Value: 0.036 | Reward: -30.03
Episode 214 | Loss: -0.014 | Policy: -0.029 | Value: 0.031 | Reward: -40.03
Episode 215 | Loss: -0.006 | Policy: -0.086 | Value: 0.159 | Reward: -30.04
Episode 216 | Loss: -0.042 | Policy: -0.056 | Value: 0.029 | Reward: -40.03
Episode 217 | Loss: 0.060 | Policy: 0.056 | Value: 0.008 | Reward: -40.03
Episode 218 | Loss: 0.078 | Policy: 0.072 | Value: 0.012 | Reward: -40.03
Episode 219 | Loss: 0.046 | Policy: -0.018 | Value: 0.127 | Reward: -30.03
Episode 220 | Loss: 0.054 | Policy: -0.006 | Value: 0.121 | Reward: -30.03
Episode 221 | Loss: 0.068 | Policy: 0.045 | Value: 0.046 | Reward: -30.03
Episode 222 | Loss: 0.550 | Policy: 0.420 | Value: 0.260 | Reward: -40.03
Episode 223 | Loss: 0.401 | Policy: 0.316 | Value: 0.168 | Reward: -30.04
Episode 224 | Loss: 0.638 | Policy: 0.475 | Value: 0.326 | Reward: -40.03
Episode 225 | Loss: 0.071 | Policy: 0.042 | Value: 0.058 | Reward: -20.04
Episode 226 | Loss: 0.047 | Policy: 0.020 | Value: 0.054 | Reward: -20.03
Episode 227 | Loss: 0.424 | Policy: 0.339 | Value: 0.168 | Reward: -40.04
Episode 228 | Loss: 0.349 | Policy: 0.287 | Value: 0.125 | Reward: -40.03
Episode 229 | Loss: -0.016 | Policy: -0.022 | Value: 0.013 | Reward: -30.03
Episode 230 | Loss: -0.023 | Policy: -0.033 | Value: 0.021 | Reward: -30.03
Episode 231 | Loss: 0.040 | Policy: 0.033 | Value: 0.014 | Reward: -30.03
Episode 232 | Loss: 0.202 | Policy: 0.170 | Value: 0.065 | Reward: -40.03
Episode 233 | Loss: 0.010 | Policy: -0.057 | Value: 0.133 | Reward: -20.03
Episode 234 | Loss: 0.012 | Policy: -0.055 | Value: 0.136 | Reward: -20.03
Episode 235 | Loss: 0.440 | Policy: 0.340 | Value: 0.200 | Reward: -50.03
Episode 236 | Loss: -0.005 | Policy: -0.009 | Value: 0.009 | Reward: -30.03
Episode 237 | Loss: 0.100 | Policy: 0.091 | Value: 0.018 | Reward: -30.03
Episode 238 | Loss: 0.277 | Policy: 0.234 | Value: 0.087 | Reward: -40.03
Episode 239 | Loss: 0.029 | Policy: -0.029 | Value: 0.115 | Reward: -20.04
Episode 240 | Loss: 0.317 | Policy: 0.262 | Value: 0.110 | Reward: -50.03
Episode 241 | Loss: -0.028 | Policy: -0.036 | Value: 0.016 | Reward: -40.03
Episode 242 | Loss: 0.015 | Policy: -0.042 | Value: 0.114 | Reward: -30.03
Episode 243 | Loss: 0.053 | Policy: -0.017 | Value: 0.141 | Reward: -20.04
Episode 244 | Loss: 0.170 | Policy: 0.150 | Value: 0.038 | Reward: -30.03
Episode 245 | Loss: 0.304 | Policy: 0.255 | Value: 0.098 | Reward: -30.03
Episode 246 | Loss: 0.506 | Policy: 0.394 | Value: 0.223 | Reward: -40.03
Episode 247 | Loss: 0.042 | Policy: 0.039 | Value: 0.006 | Reward: -30.03
Episode 248 | Loss: -0.035 | Policy: -0.045 | Value: 0.021 | Reward: -40.03
Episode 249 | Loss: -0.042 | Policy: -0.088 | Value: 0.093 | Reward: -40.03
Episode 250 | Loss: 0.019 | Policy: -0.092 | Value: 0.222 | Reward: -30.04
Episode 251 | Loss: -0.024 | Policy: -0.062 | Value: 0.076 | Reward: -30.04
Episode 252 | Loss: 0.285 | Policy: 0.236 | Value: 0.099 | Reward: -40.03
Episode 253 | Loss: 0.053 | Policy: 0.048 | Value: 0.010 | Reward: -20.04
Episode 254 | Loss: 0.182 | Policy: 0.159 | Value: 0.046 | Reward: -30.04
Episode 255 | Loss: 0.004 | Policy: 0.000 | Value: 0.008 | Reward: -30.04
Episode 256 | Loss: -0.022 | Policy: -0.030 | Value: 0.016 | Reward: -30.03
Episode 257 | Loss: 0.170 | Policy: 0.152 | Value: 0.038 | Reward: -40.03
Episode 258 | Loss: 0.005 | Policy: -0.009 | Value: 0.028 | Reward: -30.03
Episode 259 | Loss: 0.032 | Policy: 0.023 | Value: 0.017 | Reward: -30.03
Episode 260 | Loss: 0.078 | Policy: 0.058 | Value: 0.040 | Reward: -20.04
Episode 261 | Loss: 1.432 | Policy: 0.884 | Value: 1.096 | Reward: -50.03
Episode 262 | Loss: 0.797 | Policy: 0.566 | Value: 0.463 | Reward: -30.03
Episode 263 | Loss: 1.126 | Policy: 0.737 | Value: 0.778 | Reward: -40.03
Episode 264 | Loss: 0.470 | Policy: 0.370 | Value: 0.199 | Reward: -30.04
Episode 265 | Loss: 0.087 | Policy: 0.081 | Value: 0.012 | Reward: -30.03
Episode 266 | Loss: -0.051 | Policy: -0.068 | Value: 0.035 | Reward: -40.03
Episode 267 | Loss: -0.030 | Policy: -0.126 | Value: 0.192 | Reward: -40.03
Episode 268 | Loss: -0.014 | Policy: -0.142 | Value: 0.255 | Reward: -40.04
Episode 269 | Loss: 0.065 | Policy: -0.118 | Value: 0.365 | Reward: -30.04
Episode 270 | Loss: -0.052 | Policy: -0.066 | Value: 0.027 | Reward: -40.03
Episode 271 | Loss: 0.270 | Policy: 0.226 | Value: 0.087 | Reward: -40.03
Episode 272 | Loss: 0.237 | Policy: 0.205 | Value: 0.064 | Reward: -30.03
Episode 273 | Loss: 0.036 | Policy: 0.018 | Value: 0.036 | Reward: -10.03
Episode 274 | Loss: 0.747 | Policy: 0.535 | Value: 0.422 | Reward: -40.03
Episode 275 | Loss: 0.721 | Policy: 0.520 | Value: 0.401 | Reward: -40.03
Episode 276 | Loss: 0.473 | Policy: 0.369 | Value: 0.209 | Reward: -40.04
Episode 277 | Loss: 0.109 | Policy: 0.096 | Value: 0.026 | Reward: -40.03
Episode 278 | Loss: 0.042 | Policy: -0.105 | Value: 0.295 | Reward: -30.04
Episode 279 | Loss: 0.160 | Policy: -0.147 | Value: 0.613 | Reward: -30.03
Episode 280 | Loss: 0.036 | Policy: -0.166 | Value: 0.403 | Reward: -40.03
Episode 281 | Loss: -0.005 | Policy: -0.140 | Value: 0.272 | Reward: -40.03
Episode 282 | Loss: -0.048 | Policy: -0.083 | Value: 0.069 | Reward: -40.03
Episode 283 | Loss: 0.139 | Policy: 0.124 | Value: 0.031 | Reward: -40.03
Episode 284 | Loss: 0.018 | Policy: 0.012 | Value: 0.011 | Reward: -20.04
Episode 285 | Loss: 0.806 | Policy: 0.570 | Value: 0.472 | Reward: -40.04
Episode 286 | Loss: 1.025 | Policy: 0.686 | Value: 0.679 | Reward: -40.03
Episode 287 | Loss: 0.633 | Policy: 0.472 | Value: 0.323 | Reward: -30.03
Episode 288 | Loss: 0.670 | Policy: 0.492 | Value: 0.355 | Reward: -40.03
Episode 289 | Loss: 0.043 | Policy: 0.040 | Value: 0.005 | Reward: -30.03
Episode 290 | Loss: 0.009 | Policy: -0.075 | Value: 0.168 | Reward: -30.04
Episode 291 | Loss: -0.076 | Policy: -0.106 | Value: 0.061 | Reward: -50.03
Episode 292 | Loss: 0.135 | Policy: -0.125 | Value: 0.520 | Reward: -30.03
Episode 293 | Loss: -0.019 | Policy: -0.104 | Value: 0.170 | Reward: -40.03
Episode 294 | Loss: 0.013 | Policy: -0.059 | Value: 0.145 | Reward: -30.03
Episode 295 | Loss: 0.208 | Policy: 0.183 | Value: 0.051 | Reward: -40.03
Episode 296 | Loss: 0.419 | Policy: 0.337 | Value: 0.165 | Reward: -40.03
Episode 297 | Loss: 0.176 | Policy: 0.156 | Value: 0.039 | Reward: -30.03
Episode 298 | Loss: 0.046 | Policy: 0.043 | Value: 0.006 | Reward: -30.03
Episode 299 | Loss: 0.200 | Policy: 0.173 | Value: 0.053 | Reward: -50.03
Episode 300 | Loss: 0.114 | Policy: -0.111 | Value: 0.449 | Reward: -30.03
Episode 301 | Loss: 0.239 | Policy: -0.152 | Value: 0.781 | Reward: -30.04
Episode 302 | Loss: 0.262 | Policy: -0.163 | Value: 0.850 | Reward: -30.04
Episode 303 | Loss: 0.176 | Policy: -0.145 | Value: 0.644 | Reward: -30.03
Episode 304 | Loss: -0.042 | Policy: -0.103 | Value: 0.122 | Reward: -40.03
Episode 305 | Loss: -0.025 | Policy: -0.040 | Value: 0.029 | Reward: -30.03
Episode 306 | Loss: 0.131 | Policy: 0.119 | Value: 0.025 | Reward: -20.03
Episode 307 | Loss: 1.047 | Policy: 0.695 | Value: 0.705 | Reward: -40.03
Episode 308 | Loss: 0.589 | Policy: 0.444 | Value: 0.290 | Reward: -20.03
Episode 309 | Loss: 0.790 | Policy: 0.561 | Value: 0.458 | Reward: -30.04
Episode 310 | Loss: 0.514 | Policy: 0.397 | Value: 0.233 | Reward: -30.03
