Episode 115 | Loss: 2.528 | Policy: 1.312 | Value: 2.432 | Reward: -50.03
Episode 116 | Loss: 3.046 | Policy: 1.488 | Value: 3.117 | Reward: -50.03
Episode 117 | Loss: 3.908 | Policy: 1.770 | Value: 4.276 | Reward: -60.03
Episode 118 | Loss: 2.160 | Policy: 1.178 | Value: 1.966 | Reward: -50.03
Episode 119 | Loss: 1.839 | Policy: 1.058 | Value: 1.564 | Reward: -60.03
Episode 120 | Loss: 0.600 | Policy: 0.444 | Value: 0.314 | Reward: -60.03
Episode 121 | Loss: 0.049 | Policy: -0.206 | Value: 0.514 | Reward: -50.03
Episode 122 | Loss: 0.431 | Policy: -0.342 | Value: 1.552 | Reward: -50.03
Episode 123 | Loss: 0.689 | Policy: -0.404 | Value: 2.190 | Reward: -50.03
Episode 124 | Loss: -0.193 | Policy: -0.462 | Value: 0.541 | Reward: -70.03
Episode 125 | Loss: 0.007 | Policy: -0.358 | Value: 0.734 | Reward: -60.03
Episode 126 | Loss: 0.037 | Policy: -0.216 | Value: 0.511 | Reward: -50.03
Episode 127 | Loss: -0.003 | Policy: -0.013 | Value: 0.024 | Reward: -50.03
Episode 128 | Loss: 0.983 | Policy: 0.662 | Value: 0.644 | Reward: -50.03
Episode 129 | Loss: 3.849 | Policy: 1.791 | Value: 4.117 | Reward: -70.03
Episode 130 | Loss: 3.274 | Policy: 1.573 | Value: 3.403 | Reward: -60.03
Episode 131 | Loss: 2.331 | Policy: 1.240 | Value: 2.184 | Reward: -50.03
Episode 132 | Loss: 1.746 | Policy: 1.013 | Value: 1.469 | Reward: -50.03
Episode 133 | Loss: 1.462 | Policy: 0.892 | Value: 1.142 | Reward: -60.03
Episode 134 | Loss: 1.009 | Policy: 0.678 | Value: 0.664 | Reward: -70.03
Episode 135 | Loss: 0.035 | Policy: -0.235 | Value: 0.544 | Reward: -50.03
Episode 136 | Loss: 0.380 | Policy: -0.361 | Value: 1.486 | Reward: -50.03
Episode 137 | Loss: 1.107 | Policy: -0.331 | Value: 2.882 | Reward: 39.96
Episode 138 | Loss: 0.971 | Policy: -0.363 | Value: 2.675 | Reward: -40.03
Episode 139 | Loss: 0.650 | Policy: -0.280 | Value: 1.867 | Reward: 39.97
