Episode 99 | Loss: 0.067 | Policy: -0.122 | Value: 0.391 | Reward: -20.03
Episode 100 | Loss: -0.038 | Policy: -0.040 | Value: 0.017 | Reward: -30.04
Episode 101 | Loss: 0.455 | Policy: 0.354 | Value: 0.212 | Reward: -30.04
Episode 102 | Loss: 2.100 | Policy: 1.222 | Value: 1.767 | Reward: -60.03
Episode 103 | Loss: 0.750 | Policy: 0.527 | Value: 0.449 | Reward: -30.04
Episode 104 | Loss: 0.440 | Policy: 0.338 | Value: 0.207 | Reward: -30.04
Episode 105 | Loss: 0.178 | Policy: 0.140 | Value: 0.079 | Reward: -40.03
Episode 106 | Loss: -0.055 | Policy: -0.155 | Value: 0.201 | Reward: -40.03
Episode 107 | Loss: 0.069 | Policy: -0.209 | Value: 0.558 | Reward: -40.03
Episode 108 | Loss: 0.109 | Policy: -0.216 | Value: 0.653 | Reward: -40.03
Episode 109 | Loss: 0.201 | Policy: -0.168 | Value: 0.740 | Reward: -30.03
Episode 110 | Loss: 0.020 | Policy: -0.107 | Value: 0.255 | Reward: -30.03
Episode 111 | Loss: -0.004 | Policy: -0.019 | Value: 0.031 | Reward: -20.04
Episode 112 | Loss: 0.910 | Policy: 0.620 | Value: 0.579 | Reward: -30.04
Episode 113 | Loss: 1.653 | Policy: 0.966 | Value: 1.376 | Reward: -30.03
Episode 114 | Loss: 2.445 | Policy: 1.269 | Value: 2.352 | Reward: -40.03
Episode 115 | Loss: 2.275 | Policy: 1.208 | Value: 2.133 | Reward: -40.03
Episode 116 | Loss: 1.272 | Policy: 0.800 | Value: 0.947 | Reward: -30.03
Episode 117 | Loss: 0.857 | Policy: 0.592 | Value: 0.531 | Reward: -40.03
Episode 118 | Loss: -0.016 | Policy: -0.027 | Value: 0.025 | Reward: -30.04
Episode 119 | Loss: 0.020 | Policy: -0.092 | Value: 0.226 | Reward: -30.03
Episode 120 | Loss: 0.053 | Policy: -0.110 | Value: 0.327 | Reward: -30.03
Episode 121 | Loss: -0.055 | Policy: -0.088 | Value: 0.067 | Reward: -40.03
Episode 122 | Loss: 0.067 | Policy: 0.056 | Value: 0.022 | Reward: -40.03
Episode 123 | Loss: 0.135 | Policy: 0.117 | Value: 0.038 | Reward: -40.03
Episode 124 | Loss: 0.009 | Policy: 0.003 | Value: 0.015 | Reward: -40.03
Episode 125 | Loss: -0.037 | Policy: -0.086 | Value: 0.100 | Reward: -40.03
Episode 126 | Loss: -0.015 | Policy: -0.090 | Value: 0.152 | Reward: -40.03
Episode 127 | Loss: 0.066 | Policy: -0.063 | Value: 0.261 | Reward: -30.04
Episode 128 | Loss: 0.094 | Policy: 0.081 | Value: 0.028 | Reward: -40.03
Episode 129 | Loss: 0.186 | Policy: 0.162 | Value: 0.051 | Reward: -40.03
Episode 130 | Loss: 0.038 | Policy: 0.008 | Value: 0.063 | Reward: -30.03
Episode 131 | Loss: 0.042 | Policy: 0.029 | Value: 0.028 | Reward: -30.04
Episode 132 | Loss: 0.057 | Policy: 0.050 | Value: 0.018 | Reward: 59.97
Episode 133 | Loss: 0.851 | Policy: 0.591 | Value: 0.521 | Reward: -40.03
Episode 134 | Loss: 0.425 | Policy: 0.335 | Value: 0.181 | Reward: -20.04
Episode 135 | Loss: 0.284 | Policy: 0.232 | Value: 0.106 | Reward: -20.04
Episode 136 | Loss: 0.121 | Policy: 0.096 | Value: 0.051 | Reward: -30.04
Episode 137 | Loss: -0.092 | Policy: -0.129 | Value: 0.075 | Reward: -40.04
Episode 138 | Loss: -0.038 | Policy: -0.174 | Value: 0.276 | Reward: -40.04
Episode 139 | Loss: -0.009 | Policy: -0.191 | Value: 0.366 | Reward: -40.03
Episode 140 | Loss: -0.044 | Policy: -0.166 | Value: 0.249 | Reward: -40.04
Episode 141 | Loss: -0.034 | Policy: -0.107 | Value: 0.154 | Reward: -30.04
Episode 142 | Loss: 0.258 | Policy: 0.213 | Value: 0.099 | Reward: -40.03
Episode 143 | Loss: 0.281 | Policy: 0.236 | Value: 0.101 | Reward: -30.03
Episode 144 | Loss: 0.276 | Policy: 0.235 | Value: 0.094 | Reward: -30.03
Episode 145 | Loss: 0.287 | Policy: 0.243 | Value: 0.100 | Reward: -40.03
Episode 146 | Loss: -0.029 | Policy: -0.027 | Value: 0.011 | Reward: -40.04
Episode 147 | Loss: -0.047 | Policy: -0.067 | Value: 0.052 | Reward: -40.03
Episode 148 | Loss: -0.025 | Policy: -0.037 | Value: 0.035 | Reward: -40.04
