H:\AI Course\GNN_VRP\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 101 | Loss: 7.908 | Policy: 1.420 | Value: 12.986 | Entropy: 0.496
Episode 102 | Loss: 17.152 | Policy: 1.956 | Value: 30.399 | Entropy: 0.422
Episode 103 | Loss: 17.770 | Policy: 2.013 | Value: 31.521 | Entropy: 0.406
Episode 104 | Loss: 14.451 | Policy: 0.818 | Value: 27.273 | Entropy: 0.408
Episode 105 | Loss: 15.939 | Policy: 1.542 | Value: 28.801 | Entropy: 0.427
Episode 106 | Loss: 15.567 | Policy: 0.421 | Value: 30.300 | Entropy: 0.439
Episode 107 | Loss: 15.148 | Policy: 1.088 | Value: 28.129 | Entropy: 0.452
Episode 108 | Loss: 11.456 | Policy: 0.225 | Value: 22.472 | Entropy: 0.460
Episode 109 | Loss: 16.593 | Policy: 1.331 | Value: 30.535 | Entropy: 0.466
Episode 110 | Loss: 6.521 | Policy: 0.212 | Value: 12.628 | Entropy: 0.495
Episode 111 | Loss: 14.068 | Policy: 0.499 | Value: 27.150 | Entropy: 0.529
Episode 112 | Loss: 7.945 | Policy: 0.818 | Value: 14.265 | Entropy: 0.542
Episode 113 | Loss: 17.304 | Policy: 1.698 | Value: 31.223 | Entropy: 0.542
Episode 114 | Loss: 14.984 | Policy: 1.048 | Value: 27.884 | Entropy: 0.538
Episode 115 | Loss: 22.015 | Policy: 0.592 | Value: 42.855 | Entropy: 0.537
Episode 116 | Loss: 24.152 | Policy: 3.404 | Value: 41.506 | Entropy: 0.537
Episode 117 | Loss: 33.475 | Policy: 0.635 | Value: 65.691 | Entropy: 0.534
Episode 118 | Loss: 16.901 | Policy: 1.885 | Value: 30.041 | Entropy: 0.532
Episode 119 | Loss: 17.786 | Policy: 1.946 | Value: 31.691 | Entropy: 0.529
Episode 120 | Loss: 19.399 | Policy: 0.981 | Value: 36.846 | Entropy: 0.536
Episode 121 | Loss: 32.596 | Policy: 4.786 | Value: 55.630 | Entropy: 0.545
Episode 122 | Loss: 24.939 | Policy: 3.623 | Value: 42.643 | Entropy: 0.559
Episode 123 | Loss: 31.398 | Policy: 4.595 | Value: 53.617 | Entropy: 0.570
Episode 124 | Loss: 22.832 | Policy: 3.169 | Value: 39.338 | Entropy: 0.588
Episode 125 | Loss: 14.870 | Policy: 1.262 | Value: 27.227 | Entropy: 0.599
Episode 126 | Loss: 15.994 | Policy: 0.715 | Value: 30.570 | Entropy: 0.608
Episode 127 | Loss: 14.568 | Policy: 0.715 | Value: 27.719 | Entropy: 0.611
Episode 128 | Loss: 225.059 | Policy: -0.298 | Value: 450.726 | Entropy: 0.611
Episode 129 | Loss: 17.882 | Policy: 0.618 | Value: 34.540 | Entropy: 0.570
Episode 130 | Loss: 207.347 | Policy: -0.363 | Value: 415.432 | Entropy: 0.545
Episode 131 | Loss: 51.303 | Policy: -0.098 | Value: 102.813 | Entropy: 0.506
Episode 132 | Loss: 40.233 | Policy: -0.121 | Value: 80.718 | Entropy: 0.499
Episode 133 | Loss: 167.723 | Policy: 13.701 | Value: 308.052 | Entropy: 0.471
Episode 134 | Loss: 189.631 | Policy: 14.570 | Value: 350.130 | Entropy: 0.430
Episode 135 | Loss: 205.460 | Policy: 15.188 | Value: 380.552 | Entropy: 0.415
Episode 136 | Loss: 144.109 | Policy: 12.857 | Value: 262.512 | Entropy: 0.439
Episode 137 | Loss: 113.268 | Policy: 10.732 | Value: 205.083 | Entropy: 0.487
Episode 138 | Loss: 65.094 | Policy: 7.559 | Value: 115.082 | Entropy: 0.551
Episode 139 | Loss: 24.265 | Policy: 2.788 | Value: 42.967 | Entropy: 0.617
Episode 140 | Loss: 15.954 | Policy: 0.676 | Value: 30.568 | Entropy: 0.533
Episode 141 | Loss: 386.031 | Policy: -0.542 | Value: 773.156 | Entropy: 0.480
Episode 142 | Loss: 27.184 | Policy: -0.071 | Value: 54.520 | Entropy: 0.489
Episode 143 | Loss: 57.005 | Policy: -0.142 | Value: 114.303 | Entropy: 0.523
Episode 144 | Loss: 68.120 | Policy: -0.051 | Value: 136.353 | Entropy: 0.595
Episode 145 | Loss: 20.767 | Policy: 0.215 | Value: 41.116 | Entropy: 0.599
Episode 146 | Loss: 31.258 | Policy: 0.120 | Value: 62.287 | Entropy: 0.571
Episode 147 | Loss: 40.259 | Policy: 0.699 | Value: 79.130 | Entropy: 0.503
Episode 148 | Loss: 24.859 | Policy: 3.478 | Value: 42.771 | Entropy: 0.433
Episode 149 | Loss: 29.794 | Policy: 3.922 | Value: 51.754 | Entropy: 0.459
Episode 150 | Loss: 35.184 | Policy: 4.889 | Value: 60.601 | Entropy: 0.491
Episode 151 | Loss: 25.323 | Policy: 2.753 | Value: 45.150 | Entropy: 0.381
Episode 152 | Loss: 43.678 | Policy: 5.303 | Value: 76.760 | Entropy: 0.480
Episode 153 | Loss: 77.926 | Policy: 8.696 | Value: 138.469 | Entropy: 0.508
Episode 154 | Loss: 30.804 | Policy: 4.550 | Value: 52.519 | Entropy: 0.521
Episode 155 | Loss: 32.157 | Policy: 4.560 | Value: 55.206 | Entropy: 0.580
Episode 156 | Loss: 177.519 | Policy: -0.303 | Value: 355.656 | Entropy: 0.576
Episode 157 | Loss: 16.836 | Policy: 2.181 | Value: 29.323 | Entropy: 0.643
Episode 158 | Loss: 14.842 | Policy: 1.203 | Value: 27.288 | Entropy: 0.599
Episode 159 | Loss: 14.724 | Policy: 0.870 | Value: 27.721 | Entropy: 0.605
Episode 160 | Loss: 15.153 | Policy: 0.575 | Value: 29.168 | Entropy: 0.623
Episode 161 | Loss: 16.303 | Policy: 3.118 | Value: 26.382 | Entropy: 0.609
Episode 162 | Loss: 30.255 | Policy: 3.865 | Value: 52.790 | Entropy: 0.606
Episode 163 | Loss: 14.453 | Policy: 1.082 | Value: 26.753 | Entropy: 0.635
Episode 164 | Loss: 21.618 | Policy: 0.206 | Value: 42.838 | Entropy: 0.661
Episode 165 | Loss: 16.288 | Policy: 0.831 | Value: 30.927 | Entropy: 0.629
Episode 166 | Loss: 25.309 | Policy: 0.155 | Value: 50.321 | Entropy: 0.637
Episode 167 | Loss: 16.705 | Policy: 0.334 | Value: 32.757 | Entropy: 0.657
Episode 168 | Loss: 13.675 | Policy: 0.635 | Value: 26.094 | Entropy: 0.628
Episode 169 | Loss: 20.767 | Policy: 0.779 | Value: 39.988 | Entropy: 0.629
Episode 170 | Loss: 10.679 | Policy: 2.324 | Value: 16.721 | Entropy: 0.628
Episode 171 | Loss: 230.392 | Policy: -0.391 | Value: 461.579 | Entropy: 0.632
Episode 172 | Loss: 119.467 | Policy: -0.227 | Value: 239.399 | Entropy: 0.553
Episode 173 | Loss: 76.793 | Policy: 8.611 | Value: 136.375 | Entropy: 0.466
Episode 174 | Loss: 87.238 | Policy: 9.124 | Value: 156.238 | Entropy: 0.537
Episode 175 | Loss: 129.056 | Policy: 11.712 | Value: 234.698 | Entropy: 0.485
Episode 176 | Loss: 217.477 | Policy: 15.621 | Value: 403.720 | Entropy: 0.373
Episode 177 | Loss: 115.428 | Policy: 11.012 | Value: 208.839 | Entropy: 0.328
Episode 178 | Loss: 24.366 | Policy: 4.110 | Value: 40.519 | Entropy: 0.389
Episode 179 | Loss: 18.786 | Policy: 2.313 | Value: 32.955 | Entropy: 0.426
Episode 180 | Loss: 22.612 | Policy: 0.742 | Value: 43.749 | Entropy: 0.391
Episode 181 | Loss: 22.649 | Policy: 0.217 | Value: 44.872 | Entropy: 0.377
Episode 182 | Loss: 54.202 | Policy: -0.132 | Value: 108.674 | Entropy: 0.372
Episode 183 | Loss: 113.605 | Policy: -0.279 | Value: 227.776 | Entropy: 0.369
Episode 184 | Loss: 48.685 | Policy: -0.132 | Value: 97.642 | Entropy: 0.368
Episode 185 | Loss: 38.455 | Policy: -0.094 | Value: 77.105 | Entropy: 0.371
Episode 186 | Loss: 40.495 | Policy: -0.042 | Value: 81.081 | Entropy: 0.382
Episode 187 | Loss: 25.407 | Policy: 0.427 | Value: 49.970 | Entropy: 0.398
Episode 188 | Loss: 18.594 | Policy: 1.007 | Value: 35.183 | Entropy: 0.419
Episode 189 | Loss: 23.489 | Policy: 3.256 | Value: 40.475 | Entropy: 0.435
Episode 190 | Loss: 28.135 | Policy: 3.768 | Value: 48.743 | Entropy: 0.427
Episode 191 | Loss: 61.673 | Policy: 7.285 | Value: 108.784 | Entropy: 0.420
Episode 192 | Loss: 25.261 | Policy: 3.205 | Value: 44.120 | Entropy: 0.420
Episode 193 | Loss: 25.942 | Policy: 3.903 | Value: 44.087 | Entropy: 0.421
Episode 194 | Loss: 13.573 | Policy: 1.682 | Value: 23.789 | Entropy: 0.423
Episode 195 | Loss: 10.747 | Policy: 0.482 | Value: 20.538 | Entropy: 0.439
Episode 196 | Loss: 9.498 | Policy: 0.732 | Value: 17.540 | Entropy: 0.459
Episode 197 | Loss: 4.716 | Policy: 0.763 | Value: 7.914 | Entropy: 0.449
Episode 198 | Loss: 18.205 | Policy: 2.264 | Value: 31.891 | Entropy: 0.429
Episode 199 | Loss: 17.496 | Policy: 0.847 | Value: 33.306 | Entropy: 0.441
Episode 200 | Loss: 18.565 | Policy: 0.955 | Value: 35.229 | Entropy: 0.458
Episode 201 | Loss: 28.715 | Policy: 4.097 | Value: 49.246 | Entropy: 0.497
Episode 202 | Loss: 25.066 | Policy: 3.143 | Value: 43.853 | Entropy: 0.452
Episode 203 | Loss: 86.775 | Policy: -0.161 | Value: 173.879 | Entropy: 0.376
Episode 204 | Loss: 33.636 | Policy: 4.793 | Value: 57.693 | Entropy: 0.293
Episode 205 | Loss: 26.271 | Policy: 3.758 | Value: 45.030 | Entropy: 0.238
Episode 206 | Loss: 130.038 | Policy: -0.302 | Value: 260.683 | Entropy: 0.225
Episode 207 | Loss: 30.089 | Policy: 4.403 | Value: 51.376 | Entropy: 0.210
Episode 208 | Loss: 22.654 | Policy: 3.172 | Value: 38.968 | Entropy: 0.195
Episode 209 | Loss: 35.834 | Policy: 5.133 | Value: 61.407 | Entropy: 0.195
Episode 210 | Loss: 38.179 | Policy: 5.187 | Value: 65.988 | Entropy: 0.211
Episode 211 | Loss: 24.099 | Policy: 2.732 | Value: 42.739 | Entropy: 0.223
Episode 212 | Loss: 10.671 | Policy: 1.153 | Value: 19.040 | Entropy: 0.222
Episode 213 | Loss: 168.974 | Policy: -0.274 | Value: 338.500 | Entropy: 0.235
Episode 214 | Loss: 106.068 | Policy: -0.275 | Value: 212.691 | Entropy: 0.272
Episode 215 | Loss: 20.014 | Policy: 2.709 | Value: 34.615 | Entropy: 0.305
Episode 216 | Loss: 54.108 | Policy: 6.652 | Value: 94.918 | Entropy: 0.375
Episode 217 | Loss: 100.280 | Policy: 10.210 | Value: 180.149 | Entropy: 0.438
Episode 218 | Loss: 68.606 | Policy: 8.039 | Value: 121.143 | Entropy: 0.468
Episode 219 | Loss: 78.488 | Policy: -0.202 | Value: 157.390 | Entropy: 0.496
Episode 220 | Loss: 16.014 | Policy: 2.310 | Value: 27.419 | Entropy: 0.471
Episode 221 | Loss: 24.886 | Policy: 4.446 | Value: 40.889 | Entropy: 0.490
Episode 222 | Loss: 62.061 | Policy: -0.207 | Value: 124.545 | Entropy: 0.504
Episode 223 | Loss: 19.509 | Policy: 3.054 | Value: 32.920 | Entropy: 0.483
Episode 224 | Loss: 40.148 | Policy: 5.603 | Value: 69.099 | Entropy: 0.462
Episode 225 | Loss: 77.089 | Policy: 8.665 | Value: 136.858 | Entropy: 0.462
Episode 226 | Loss: 16.124 | Policy: 0.740 | Value: 30.778 | Entropy: 0.458
Episode 227 | Loss: 19.874 | Policy: 1.892 | Value: 35.972 | Entropy: 0.435
Episode 228 | Loss: 7.541 | Policy: 1.096 | Value: 12.900 | Entropy: 0.414
Episode 229 | Loss: 224.020 | Policy: -0.402 | Value: 448.853 | Entropy: 0.428
Episode 230 | Loss: 14.006 | Policy: 0.855 | Value: 26.311 | Entropy: 0.497
Episode 231 | Loss: 18.842 | Policy: 1.092 | Value: 35.509 | Entropy: 0.513
Episode 232 | Loss: 23.592 | Policy: 3.072 | Value: 41.050 | Entropy: 0.460
Episode 233 | Loss: 28.175 | Policy: 4.243 | Value: 47.872 | Entropy: 0.419
Episode 234 | Loss: 8.585 | Policy: 0.749 | Value: 15.681 | Entropy: 0.445
Episode 235 | Loss: 27.222 | Policy: 4.175 | Value: 46.104 | Entropy: 0.463
Episode 236 | Loss: 120.253 | Policy: -0.189 | Value: 240.894 | Entropy: 0.525
Episode 237 | Loss: 32.804 | Policy: 4.520 | Value: 56.579 | Entropy: 0.554
Episode 238 | Loss: 61.771 | Policy: -0.109 | Value: 123.771 | Entropy: 0.540
Episode 239 | Loss: 39.409 | Policy: -0.102 | Value: 79.034 | Entropy: 0.508
Episode 240 | Loss: 44.337 | Policy: -0.109 | Value: 88.901 | Entropy: 0.467
Episode 241 | Loss: 136.592 | Policy: 12.235 | Value: 248.722 | Entropy: 0.390
Episode 242 | Loss: 232.662 | Policy: 16.341 | Value: 432.651 | Entropy: 0.424
Episode 243 | Loss: 173.112 | Policy: 13.617 | Value: 319.000 | Entropy: 0.450
Episode 244 | Loss: 79.617 | Policy: 8.831 | Value: 141.578 | Entropy: 0.303
Episode 245 | Loss: 26.119 | Policy: 2.587 | Value: 47.069 | Entropy: 0.209
Episode 246 | Loss: 22.955 | Policy: 3.220 | Value: 39.474 | Entropy: 0.192
Episode 247 | Loss: 13.548 | Policy: 0.430 | Value: 26.242 | Entropy: 0.220
Episode 248 | Loss: 20.222 | Policy: 0.349 | Value: 39.752 | Entropy: 0.320
Episode 249 | Loss: 61.751 | Policy: -0.153 | Value: 123.814 | Entropy: 0.335
Episode 250 | Loss: 36.435 | Policy: -0.029 | Value: 72.934 | Entropy: 0.261
Episode 251 | Loss: 144.070 | Policy: -0.304 | Value: 288.753 | Entropy: 0.230
Episode 252 | Loss: 26.181 | Policy: -0.015 | Value: 52.396 | Entropy: 0.211
Episode 253 | Loss: 16.408 | Policy: 0.152 | Value: 32.514 | Entropy: 0.202
Episode 254 | Loss: 20.472 | Policy: 0.279 | Value: 40.389 | Entropy: 0.199
Episode 255 | Loss: 14.366 | Policy: 1.178 | Value: 26.380 | Entropy: 0.198
Episode 256 | Loss: 16.609 | Policy: 0.861 | Value: 31.500 | Entropy: 0.200
Episode 257 | Loss: 24.950 | Policy: 3.513 | Value: 42.877 | Entropy: 0.205
Episode 258 | Loss: 27.227 | Policy: 3.916 | Value: 46.627 | Entropy: 0.218
Episode 259 | Loss: 20.199 | Policy: 2.273 | Value: 35.856 | Entropy: 0.252
Episode 260 | Loss: 18.479 | Policy: 1.766 | Value: 33.434 | Entropy: 0.321
Episode 261 | Loss: 32.167 | Policy: 4.686 | Value: 54.968 | Entropy: 0.297
Episode 262 | Loss: 21.956 | Policy: 1.705 | Value: 40.506 | Entropy: 0.227
Episode 263 | Loss: 26.556 | Policy: 3.979 | Value: 45.160 | Entropy: 0.218
Episode 264 | Loss: 18.038 | Policy: 2.285 | Value: 31.511 | Entropy: 0.253
Episode 265 | Loss: 307.099 | Policy: -0.455 | Value: 615.114 | Entropy: 0.334
Episode 266 | Loss: 17.756 | Policy: 3.608 | Value: 28.301 | Entropy: 0.276
Episode 267 | Loss: 36.171 | Policy: 4.872 | Value: 62.602 | Entropy: 0.221
Episode 268 | Loss: 24.737 | Policy: 3.336 | Value: 42.805 | Entropy: 0.205
Episode 269 | Loss: 57.752 | Policy: 6.924 | Value: 101.662 | Entropy: 0.201
Episode 270 | Loss: 42.847 | Policy: 5.853 | Value: 73.993 | Entropy: 0.205
Episode 271 | Loss: 14.651 | Policy: 1.154 | Value: 26.999 | Entropy: 0.220
Episode 272 | Loss: 24.822 | Policy: 4.608 | Value: 40.433 | Entropy: 0.254
Episode 273 | Loss: 24.645 | Policy: 3.405 | Value: 42.487 | Entropy: 0.334
Episode 274 | Loss: 11.859 | Policy: 0.267 | Value: 23.191 | Entropy: 0.305
Episode 275 | Loss: 19.530 | Policy: 1.448 | Value: 36.170 | Entropy: 0.249
Episode 276 | Loss: 29.486 | Policy: 0.067 | Value: 58.842 | Entropy: 0.267
Episode 277 | Loss: 8.235 | Policy: 0.112 | Value: 16.253 | Entropy: 0.358
Episode 278 | Loss: 30.624 | Policy: -0.053 | Value: 61.360 | Entropy: 0.336
Episode 279 | Loss: 7.447 | Policy: 0.306 | Value: 14.287 | Entropy: 0.271
Episode 280 | Loss: 277.443 | Policy: -0.433 | Value: 555.756 | Entropy: 0.252
Episode 281 | Loss: 14.364 | Policy: 0.685 | Value: 27.362 | Entropy: 0.228
Episode 282 | Loss: 17.716 | Policy: 2.373 | Value: 30.690 | Entropy: 0.221
Episode 283 | Loss: 30.966 | Policy: 4.517 | Value: 52.904 | Entropy: 0.224
Episode 284 | Loss: 48.446 | Policy: 6.524 | Value: 83.849 | Entropy: 0.241
Episode 285 | Loss: 66.848 | Policy: -0.158 | Value: 134.019 | Entropy: 0.288
