H:\AI Course\GNN_VRP\core\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 105 | Loss: 15.269 | Policy: 1.131 | Value: 28.275 | Entropy: 0.000
Episode 106 | Loss: 19.409 | Policy: 1.104 | Value: 36.610 | Entropy: 0.000
Episode 107 | Loss: 39.413 | Policy: 0.103 | Value: 78.621 | Entropy: 0.001
Episode 108 | Loss: 20.464 | Policy: 0.943 | Value: 39.044 | Entropy: 0.001
Episode 109 | Loss: 20.964 | Policy: 0.449 | Value: 41.030 | Entropy: 0.001
Episode 110 | Loss: 49.485 | Policy: 4.676 | Value: 89.619 | Entropy: 0.000
Episode 111 | Loss: 38.390 | Policy: 3.815 | Value: 69.150 | Entropy: 0.000
Episode 112 | Loss: 31.816 | Policy: 0.210 | Value: 63.212 | Entropy: 0.000
Episode 113 | Loss: 34.255 | Policy: 3.684 | Value: 61.143 | Entropy: 0.000
Episode 114 | Loss: 17.776 | Policy: 1.824 | Value: 31.905 | Entropy: 0.001
Episode 115 | Loss: 17.936 | Policy: 0.770 | Value: 34.333 | Entropy: 0.001
Episode 116 | Loss: 28.516 | Policy: 0.353 | Value: 56.325 | Entropy: 0.002
Episode 117 | Loss: 20.064 | Policy: 0.666 | Value: 38.798 | Entropy: 0.002
Episode 118 | Loss: 29.151 | Policy: 2.983 | Value: 52.336 | Entropy: 0.001
Episode 119 | Loss: 22.140 | Policy: 3.072 | Value: 38.138 | Entropy: 0.001
Episode 120 | Loss: 23.731 | Policy: 1.340 | Value: 44.781 | Entropy: 0.003
Episode 121 | Loss: 25.478 | Policy: 3.090 | Value: 44.776 | Entropy: 0.005
Episode 122 | Loss: 19.691 | Policy: 0.492 | Value: 38.398 | Entropy: 0.014
Episode 123 | Loss: 36.167 | Policy: -0.018 | Value: 72.370 | Entropy: 0.027
Episode 124 | Loss: 21.150 | Policy: 0.525 | Value: 41.249 | Entropy: 0.032
Episode 125 | Loss: 21.016 | Policy: 2.242 | Value: 37.550 | Entropy: 0.032
Episode 126 | Loss: 38.240 | Policy: 3.918 | Value: 68.644 | Entropy: 0.033
Episode 127 | Loss: 28.953 | Policy: 3.113 | Value: 51.682 | Entropy: 0.033
Episode 128 | Loss: 17.662 | Policy: 2.038 | Value: 31.248 | Entropy: 0.032
Episode 129 | Loss: 18.049 | Policy: 0.945 | Value: 34.210 | Entropy: 0.031
Episode 130 | Loss: 39.181 | Policy: 3.824 | Value: 70.714 | Entropy: 0.030
Episode 131 | Loss: 21.613 | Policy: 1.231 | Value: 40.764 | Entropy: 0.031
Episode 132 | Loss: 34.607 | Policy: 0.530 | Value: 68.154 | Entropy: 0.032
Episode 133 | Loss: 22.268 | Policy: 1.487 | Value: 41.562 | Entropy: 0.031
Episode 134 | Loss: 23.261 | Policy: 1.177 | Value: 44.168 | Entropy: 0.031
