Episode 155 | Loss: 0.113 | Policy: 0.128 | Value: 0.024 | Reward: 4909.10
Episode 156 | Loss: -0.052 | Policy: -0.027 | Value: 0.003 | Reward: 4909.15
Episode 157 | Loss: -0.043 | Policy: -0.018 | Value: 0.002 | Reward: 4904.16
Episode 158 | Loss: 0.146 | Policy: 0.154 | Value: 0.036 | Reward: 4908.93
Episode 159 | Loss: 0.139 | Policy: 0.148 | Value: 0.033 | Reward: 4904.19
Episode 160 | Loss: -0.039 | Policy: -0.014 | Value: 0.001 | Reward: 4909.18
Episode 161 | Loss: -0.038 | Policy: -0.013 | Value: 0.001 | Reward: 4904.19
Episode 162 | Loss: 0.135 | Policy: 0.145 | Value: 0.032 | Reward: 4909.23
Episode 163 | Loss: 0.112 | Policy: 0.126 | Value: 0.024 | Reward: 4908.85
Episode 164 | Loss: -0.064 | Policy: -0.041 | Value: 0.007 | Reward: 4909.10
Episode 165 | Loss: -0.055 | Policy: -0.032 | Value: 0.007 | Reward: 4908.95
Episode 166 | Loss: 0.077 | Policy: 0.097 | Value: 0.014 | Reward: 4908.98
Episode 167 | Loss: 0.050 | Policy: 0.074 | Value: 0.008 | Reward: 4908.93
Episode 168 | Loss: -0.083 | Policy: -0.065 | Value: 0.022 | Reward: 4909.23
Episode 169 | Loss: -0.090 | Policy: -0.072 | Value: 0.023 | Reward: 4909.18
Episode 170 | Loss: 0.002 | Policy: 0.030 | Value: 0.002 | Reward: 4909.18
Episode 171 | Loss: -0.029 | Policy: -0.001 | Value: 0.000 | Reward: 4909.10
Episode 172 | Loss: -0.012 | Policy: 0.015 | Value: 0.001 | Reward: 4909.15
Episode 173 | Loss: -0.078 | Policy: -0.060 | Value: 0.019 | Reward: 4909.05
Episode 174 | Loss: -0.052 | Policy: -0.026 | Value: 0.004 | Reward: 4909.43
Episode 175 | Loss: 0.172 | Policy: 0.177 | Value: 0.047 | Reward: 4909.08
Episode 176 | Loss: 0.215 | Policy: 0.210 | Value: 0.066 | Reward: 4909.13
Episode 177 | Loss: 0.047 | Policy: 0.072 | Value: 0.008 | Reward: 4909.20
Episode 178 | Loss: -0.124 | Policy: -0.134 | Value: 0.075 | Reward: 4909.03
Episode 179 | Loss: -0.130 | Policy: -0.178 | Value: 0.151 | Reward: 4909.23
Episode 180 | Loss: -0.149 | Policy: -0.208 | Value: 0.174 | Reward: 4904.10
Episode 181 | Loss: -0.085 | Policy: -0.067 | Value: 0.018 | Reward: 4904.23
Episode 182 | Loss: 0.493 | Policy: 0.403 | Value: 0.237 | Reward: 4909.10
Episode 183 | Loss: 0.794 | Policy: 0.577 | Value: 0.488 | Reward: 4909.23
Episode 184 | Loss: 0.771 | Policy: 0.563 | Value: 0.471 | Reward: 4909.12
Episode 185 | Loss: 0.465 | Policy: 0.383 | Value: 0.218 | Reward: 4909.48
Episode 186 | Loss: 0.036 | Policy: 0.058 | Value: 0.008 | Reward: 4909.03
Episode 187 | Loss: -0.160 | Policy: -0.252 | Value: 0.238 | Reward: 4909.33
Episode 188 | Loss: -0.038 | Policy: -0.310 | Value: 0.596 | Reward: 4909.45
Episode 189 | Loss: -0.063 | Policy: -0.375 | Value: 0.678 | Reward: 4909.23
Episode 190 | Loss: -0.092 | Policy: -0.289 | Value: 0.450 | Reward: 4909.10
Episode 191 | Loss: -0.132 | Policy: -0.161 | Value: 0.113 | Reward: 4909.25
Episode 192 | Loss: 0.114 | Policy: 0.127 | Value: 0.030 | Reward: 4909.08
Episode 193 | Loss: 0.380 | Policy: 0.324 | Value: 0.166 | Reward: 4909.20
