Episode 131 | Loss: 0.312 | Policy: 0.272 | Value: 0.116 | Reward: 155.38
Episode 132 | Loss: 0.125 | Policy: 0.127 | Value: 0.031 | Reward: 156.25
Episode 133 | Loss: -0.041 | Policy: -0.060 | Value: 0.073 | Reward: 155.38
Episode 134 | Loss: -0.026 | Policy: -0.079 | Value: 0.142 | Reward: 156.00
Episode 135 | Loss: -0.049 | Policy: -0.053 | Value: 0.044 | Reward: 156.25
Episode 136 | Loss: 0.191 | Policy: 0.182 | Value: 0.059 | Reward: 155.88
Episode 137 | Loss: 0.321 | Policy: 0.279 | Value: 0.124 | Reward: 156.25
Episode 138 | Loss: 0.149 | Policy: 0.150 | Value: 0.038 | Reward: 155.01
Episode 139 | Loss: -0.054 | Policy: -0.060 | Value: 0.052 | Reward: 156.25
Episode 140 | Loss: -0.076 | Policy: -0.111 | Value: 0.111 | Reward: 156.00
Episode 141 | Loss: -0.040 | Policy: -0.036 | Value: 0.031 | Reward: 154.51
Episode 142 | Loss: 0.219 | Policy: 0.204 | Value: 0.067 | Reward: 155.50
Episode 143 | Loss: 0.343 | Policy: 0.295 | Value: 0.133 | Reward: 155.75
Episode 144 | Loss: 0.145 | Policy: 0.146 | Value: 0.036 | Reward: 155.63
Episode 145 | Loss: -0.042 | Policy: -0.052 | Value: 0.061 | Reward: 155.75
Episode 146 | Loss: -0.055 | Policy: -0.104 | Value: 0.138 | Reward: 156.13
Episode 147 | Loss: -0.057 | Policy: -0.061 | Value: 0.050 | Reward: 155.88
Episode 148 | Loss: 0.139 | Policy: 0.143 | Value: 0.034 | Reward: 155.75
Episode 149 | Loss: 0.239 | Policy: 0.217 | Value: 0.086 | Reward: 155.38
Episode 150 | Loss: 0.067 | Policy: 0.082 | Value: 0.014 | Reward: 156.50
Episode 151 | Loss: -0.063 | Policy: -0.088 | Value: 0.094 | Reward: 156.50
Episode 152 | Loss: -0.045 | Policy: -0.103 | Value: 0.160 | Reward: 156.00
Episode 153 | Loss: -0.055 | Policy: -0.047 | Value: 0.026 | Reward: 150.69
Episode 154 | Loss: 0.346 | Policy: 0.298 | Value: 0.135 | Reward: 155.51
Episode 155 | Loss: 0.480 | Policy: 0.387 | Value: 0.224 | Reward: 155.26
Episode 156 | Loss: 0.231 | Policy: 0.213 | Value: 0.072 | Reward: 156.00
Episode 157 | Loss: -0.010 | Policy: -0.073 | Value: 0.163 | Reward: -97.18
Episode 158 | Loss: -0.068 | Policy: -0.096 | Value: 0.091 | Reward: 155.88
Episode 159 | Loss: -0.032 | Policy: -0.025 | Value: 0.019 | Reward: 150.69
Episode 160 | Loss: 0.255 | Policy: 0.230 | Value: 0.082 | Reward: 156.00
Episode 161 | Loss: 0.370 | Policy: 0.313 | Value: 0.147 | Reward: 150.94
Episode 162 | Loss: 0.187 | Policy: 0.178 | Value: 0.048 | Reward: 99.94
Episode 163 | Loss: -0.041 | Policy: -0.043 | Value: 0.035 | Reward: 150.32
Episode 164 | Loss: -0.071 | Policy: -0.098 | Value: 0.086 | Reward: 99.94
Episode 165 | Loss: -0.046 | Policy: -0.040 | Value: 0.021 | Reward: 151.19
Episode 166 | Loss: 0.110 | Policy: 0.113 | Value: 0.027 | Reward: 145.69
