Episode 98 | Loss: 14.597 | Policy: -1.635 | Value: 32.466 | Reward: -1300.26
Episode 99 | Loss: 0.504 | Policy: -0.557 | Value: 2.122 | Reward: -1300.26
Episode 100 | Loss: 23.846 | Policy: 5.138 | Value: 37.416 | Reward: -1300.26
Episode 101 | Loss: 52.243 | Policy: 8.079 | Value: 88.328 | Reward: -1550.26
Episode 102 | Loss: 42.931 | Policy: 7.136 | Value: 71.590 | Reward: -1300.26
Episode 103 | Loss: 13.355 | Policy: 3.722 | Value: 19.267 | Reward: -1550.26
Episode 104 | Loss: 4.201 | Policy: -1.013 | Value: 10.428 | Reward: -1300.26
Episode 105 | Loss: 16.401 | Policy: -2.289 | Value: 37.381 | Reward: -1550.26
Episode 106 | Loss: 13.443 | Policy: -1.581 | Value: 30.048 | Reward: -1300.26
Episode 107 | Loss: 0.338 | Policy: -0.516 | Value: 1.708 | Reward: -1300.26
Episode 108 | Loss: 25.604 | Policy: 5.432 | Value: 40.344 | Reward: -1550.26
Episode 109 | Loss: 52.522 | Policy: 8.103 | Value: 88.839 | Reward: -1550.26
Episode 110 | Loss: 44.997 | Policy: 7.444 | Value: 75.107 | Reward: -1550.26
Episode 111 | Loss: 13.838 | Policy: 3.801 | Value: 20.074 | Reward: -1550.26
Episode 112 | Loss: 3.670 | Policy: -0.967 | Value: 9.275 | Reward: -1300.26
Episode 113 | Loss: 16.565 | Policy: -1.724 | Value: 36.579 | Reward: -1300.26
Episode 114 | Loss: 12.328 | Policy: -1.528 | Value: 27.712 | Reward: -1300.26
Episode 115 | Loss: 0.194 | Policy: -0.477 | Value: 1.342 | Reward: -1300.26
Episode 116 | Loss: 26.117 | Policy: 5.493 | Value: 41.249 | Reward: -1550.26
Episode 117 | Loss: 52.858 | Policy: 8.130 | Value: 89.455 | Reward: -1550.26
Episode 118 | Loss: 45.407 | Policy: 7.480 | Value: 75.854 | Reward: -1550.26
Episode 119 | Loss: 14.360 | Policy: 3.884 | Value: 20.952 | Reward: -1550.26
Episode 120 | Loss: 3.153 | Policy: -0.923 | Value: 8.151 | Reward: -1300.26
Episode 121 | Loss: 15.238 | Policy: -1.670 | Value: 33.815 | Reward: -1300.26
Episode 122 | Loss: 11.232 | Policy: -1.476 | Value: 25.415 | Reward: -1300.26
Episode 123 | Loss: 0.076 | Policy: -0.439 | Value: 1.030 | Reward: -1300.26
Episode 124 | Loss: 25.398 | Policy: 5.322 | Value: 40.151 | Reward: -1300.26
Episode 125 | Loss: 53.201 | Policy: 8.158 | Value: 90.086 | Reward: -1550.26
Episode 126 | Loss: 44.165 | Policy: 7.245 | Value: 73.839 | Reward: -1300.26
Episode 127 | Loss: 13.939 | Policy: 3.763 | Value: 20.353 | Reward: -1300.26
Episode 128 | Loss: 2.696 | Policy: -0.879 | Value: 7.150 | Reward: -1300.26
Episode 129 | Loss: 12.758 | Policy: -2.072 | Value: 29.660 | Reward: -1550.26
Episode 130 | Loss: 9.167 | Policy: -1.817 | Value: 21.968 | Reward: -1550.26
Episode 131 | Loss: -0.004 | Policy: -0.402 | Value: 0.796 | Reward: -1300.26
Episode 132 | Loss: 27.051 | Policy: 5.602 | Value: 42.898 | Reward: -1550.26
Episode 133 | Loss: 53.345 | Policy: 8.171 | Value: 90.349 | Reward: -1550.26
Episode 134 | Loss: 38.367 | Policy: 6.808 | Value: 63.117 | Reward: -1550.26
Episode 135 | Loss: 6.374 | Policy: 2.319 | Value: 8.111 | Reward: -1300.26
Episode 136 | Loss: 13.850 | Policy: -1.628 | Value: 30.957 | Reward: -1300.26
Episode 137 | Loss: 36.523 | Policy: -2.447 | Value: 77.942 | Reward: -1300.26
Episode 138 | Loss: 28.676 | Policy: -2.204 | Value: 61.759 | Reward: -1300.26
Episode 139 | Loss: 4.275 | Policy: -1.046 | Value: 10.642 | Reward: -1300.26
Episode 140 | Loss: 14.616 | Policy: 3.862 | Value: 21.508 | Reward: -1300.26
Episode 141 | Loss: 37.758 | Policy: 6.639 | Value: 62.237 | Reward: -1300.26
Episode 142 | Loss: 32.892 | Policy: 6.248 | Value: 53.288 | Reward: -1550.26
Episode 143 | Loss: 6.730 | Policy: 2.403 | Value: 8.654 | Reward: -1300.26
Episode 144 | Loss: 8.987 | Policy: -1.370 | Value: 20.712 | Reward: -1300.26
Episode 145 | Loss: 26.570 | Policy: -2.130 | Value: 57.400 | Reward: -1300.26
Episode 146 | Loss: 20.803 | Policy: -1.920 | Value: 45.446 | Reward: -1300.26
Episode 147 | Loss: 1.776 | Policy: -1.046 | Value: 5.643 | Reward: -1550.26
Episode 148 | Loss: 17.280 | Policy: 4.325 | Value: 25.911 | Reward: -1550.26
Episode 149 | Loss: 40.269 | Policy: 6.995 | Value: 66.548 | Reward: -1550.26
Episode 150 | Loss: 32.741 | Policy: 6.134 | Value: 53.214 | Reward: -1300.26
Episode 151 | Loss: 7.759 | Policy: 2.631 | Value: 10.256 | Reward: -1300.26
Episode 152 | Loss: 6.935 | Policy: -1.238 | Value: 16.346 | Reward: -1300.26
Episode 153 | Loss: 22.405 | Policy: -1.978 | Value: 48.766 | Reward: -1300.26
Episode 154 | Loss: 17.411 | Policy: -1.779 | Value: 38.380 | Reward: -1300.26
Episode 155 | Loss: 1.060 | Policy: -0.908 | Value: 3.936 | Reward: -1550.26
Episode 156 | Loss: 18.383 | Policy: 4.485 | Value: 27.797 | Reward: -1550.26
Episode 157 | Loss: 41.072 | Policy: 7.073 | Value: 67.997 | Reward: -1550.26
Episode 158 | Loss: 34.797 | Policy: 6.450 | Value: 56.695 | Reward: -1550.26
Episode 159 | Loss: 9.179 | Policy: 2.958 | Value: 12.442 | Reward: -1550.26
Episode 160 | Loss: 4.902 | Policy: -1.448 | Value: 12.699 | Reward: -1550.26
Episode 161 | Loss: 19.724 | Policy: -1.873 | Value: 43.194 | Reward: -1300.26
Episode 162 | Loss: 15.185 | Policy: -1.681 | Value: 33.733 | Reward: -1300.26
Episode 163 | Loss: 0.649 | Policy: -0.810 | Value: 2.919 | Reward: -1550.26
Episode 164 | Loss: 19.182 | Policy: 4.597 | Value: 29.169 | Reward: -1550.26
Episode 165 | Loss: 41.630 | Policy: 7.126 | Value: 69.008 | Reward: -1550.26
Episode 166 | Loss: 35.383 | Policy: 6.511 | Value: 57.744 | Reward: -1550.26
Episode 167 | Loss: 9.808 | Policy: 3.082 | Value: 13.452 | Reward: -1550.26
Episode 168 | Loss: 4.072 | Policy: -1.357 | Value: 10.858 | Reward: -1550.26
Episode 169 | Loss: 16.396 | Policy: -2.306 | Value: 37.403 | Reward: -1550.26
