C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([4])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 181 | Loss: 0.346 | Policy: 0.009 | Value: 0.675 | Reward: -485.61
Episode 182 | Loss: 0.321 | Policy: -0.015 | Value: 0.671 | Reward: -485.61
Episode 183 | Loss: 0.222 | Policy: -0.113 | Value: 0.669 | Reward: -485.61
Episode 184 | Loss: 0.211 | Policy: -0.124 | Value: 0.670 | Reward: -492.49
Episode 185 | Loss: 0.277 | Policy: -0.056 | Value: 0.667 | Reward: -485.61
Episode 186 | Loss: 0.296 | Policy: -0.038 | Value: 0.668 | Reward: -492.49
Episode 187 | Loss: 0.235 | Policy: -0.099 | Value: 0.668 | Reward: -485.61
Episode 188 | Loss: 0.257 | Policy: -0.077 | Value: 0.667 | Reward: -485.61
Episode 189 | Loss: 0.292 | Policy: -0.042 | Value: 0.668 | Reward: -485.61
Episode 190 | Loss: 0.356 | Policy: -0.019 | Value: 0.750 | Reward: -487.48
Episode 191 | Loss: 0.244 | Policy: -0.090 | Value: 0.667 | Reward: -485.61
Episode 192 | Loss: 0.294 | Policy: -0.040 | Value: 0.668 | Reward: -485.61
Episode 193 | Loss: 0.261 | Policy: -0.072 | Value: 0.667 | Reward: -485.61
Episode 194 | Loss: 0.235 | Policy: -0.099 | Value: 0.668 | Reward: -492.49
Episode 195 | Loss: 0.288 | Policy: -0.046 | Value: 0.668 | Reward: -485.61
Episode 196 | Loss: 0.264 | Policy: -0.069 | Value: 0.667 | Reward: -485.61
Episode 197 | Loss: 0.238 | Policy: -0.096 | Value: 0.667 | Reward: -485.61
Episode 198 | Loss: 0.283 | Policy: -0.051 | Value: 0.667 | Reward: -485.61
Episode 199 | Loss: 0.368 | Policy: -0.007 | Value: 0.750 | Reward: -487.48
Episode 200 | Loss: 0.258 | Policy: -0.076 | Value: 0.667 | Reward: -492.49
Episode 201 | Loss: 0.262 | Policy: -0.071 | Value: 0.667 | Reward: -485.61
Episode 202 | Loss: 0.266 | Policy: -0.068 | Value: 0.667 | Reward: -485.61
Episode 203 | Loss: 0.258 | Policy: -0.075 | Value: 0.667 | Reward: -486.86
Episode 204 | Loss: 0.262 | Policy: -0.071 | Value: 0.667 | Reward: -492.49
Episode 205 | Loss: 0.265 | Policy: -0.068 | Value: 0.667 | Reward: -485.61
Episode 206 | Loss: 0.259 | Policy: -0.074 | Value: 0.667 | Reward: -485.61
Episode 207 | Loss: 0.262 | Policy: -0.071 | Value: 0.667 | Reward: -485.61
Episode 208 | Loss: 0.265 | Policy: -0.069 | Value: 0.667 | Reward: -492.49
Episode 209 | Loss: 0.259 | Policy: -0.074 | Value: 0.667 | Reward: -485.61
Episode 210 | Loss: 0.262 | Policy: -0.071 | Value: 0.667 | Reward: -485.61
Episode 211 | Loss: 0.367 | Policy: -0.008 | Value: 0.750 | Reward: -487.48
Episode 212 | Loss: 0.276 | Policy: -0.058 | Value: 0.667 | Reward: -485.61
Episode 213 | Loss: 0.357 | Policy: -0.018 | Value: 0.750 | Reward: -487.48
Episode 214 | Loss: 0.259 | Policy: -0.075 | Value: 0.667 | Reward: -485.61
Episode 215 | Loss: 0.279 | Policy: -0.054 | Value: 0.667 | Reward: -485.61
Episode 216 | Loss: 0.248 | Policy: -0.086 | Value: 0.667 | Reward: -485.61
Episode 217 | Loss: 0.365 | Policy: -0.010 | Value: 0.750 | Reward: -487.48
Episode 218 | Loss: 0.288 | Policy: -0.046 | Value: 0.668 | Reward: -486.86
Episode 219 | Loss: 0.238 | Policy: -0.096 | Value: 0.667 | Reward: -485.61
Episode 220 | Loss: 0.264 | Policy: -0.069 | Value: 0.667 | Reward: -485.61
Episode 221 | Loss: 0.283 | Policy: -0.051 | Value: 0.667 | Reward: -485.61
Episode 222 | Loss: 0.353 | Policy: -0.022 | Value: 0.751 | Reward: -487.48
Episode 223 | Loss: 0.251 | Policy: -0.082 | Value: 0.667 | Reward: -485.61
Episode 224 | Loss: 0.294 | Policy: -0.040 | Value: 0.668 | Reward: -492.49
Episode 225 | Loss: 0.251 | Policy: -0.082 | Value: 0.667 | Reward: -492.49
Episode 226 | Loss: 0.245 | Policy: -0.088 | Value: 0.667 | Reward: -485.61
Episode 227 | Loss: 0.290 | Policy: -0.044 | Value: 0.668 | Reward: -485.61
Episode 228 | Loss: 0.249 | Policy: -0.084 | Value: 0.667 | Reward: -485.61
Episode 229 | Loss: 0.251 | Policy: -0.083 | Value: 0.667 | Reward: -492.49
Episode 230 | Loss: 0.286 | Policy: -0.048 | Value: 0.667 | Reward: -492.49
Episode 231 | Loss: 0.248 | Policy: -0.086 | Value: 0.667 | Reward: -492.49
Episode 232 | Loss: 0.256 | Policy: -0.078 | Value: 0.667 | Reward: -486.86
Episode 233 | Loss: 0.282 | Policy: -0.052 | Value: 0.667 | Reward: -485.61
Episode 234 | Loss: 0.247 | Policy: -0.086 | Value: 0.667 | Reward: -492.49
Episode 235 | Loss: 0.260 | Policy: -0.073 | Value: 0.667 | Reward: -485.61
Episode 236 | Loss: 0.278 | Policy: -0.056 | Value: 0.667 | Reward: -485.61
Episode 237 | Loss: 0.410 | Policy: 0.010 | Value: 0.800 | Reward: -479.35
Episode 238 | Loss: 0.252 | Policy: -0.082 | Value: 0.667 | Reward: -492.49
Episode 239 | Loss: 0.287 | Policy: -0.047 | Value: 0.667 | Reward: -485.61
Episode 240 | Loss: 0.246 | Policy: -0.088 | Value: 0.667 | Reward: -488.10
Episode 241 | Loss: 0.258 | Policy: -0.075 | Value: 0.667 | Reward: -485.61
Episode 242 | Loss: 0.282 | Policy: -0.052 | Value: 0.667 | Reward: -485.61
Episode 243 | Loss: 0.245 | Policy: -0.089 | Value: 0.667 | Reward: -492.49
Episode 244 | Loss: 0.263 | Policy: -0.070 | Value: 0.667 | Reward: -485.61
Episode 245 | Loss: 0.276 | Policy: -0.057 | Value: 0.667 | Reward: -485.61
Episode 246 | Loss: 0.245 | Policy: -0.088 | Value: 0.667 | Reward: -485.61
Episode 247 | Loss: 0.268 | Policy: -0.066 | Value: 0.667 | Reward: -492.49
Episode 248 | Loss: 0.271 | Policy: -0.062 | Value: 0.667 | Reward: -485.61
Episode 249 | Loss: 0.247 | Policy: -0.086 | Value: 0.667 | Reward: -492.49
Episode 250 | Loss: 0.271 | Policy: -0.063 | Value: 0.667 | Reward: -485.61
Episode 251 | Loss: 0.266 | Policy: -0.067 | Value: 0.667 | Reward: -485.61
Episode 252 | Loss: 0.250 | Policy: -0.083 | Value: 0.667 | Reward: -485.61
Episode 253 | Loss: 0.272 | Policy: -0.061 | Value: 0.667 | Reward: -488.10
Episode 254 | Loss: 0.262 | Policy: -0.072 | Value: 0.667 | Reward: -492.49
Episode 255 | Loss: 0.253 | Policy: -0.080 | Value: 0.667 | Reward: -485.61
Episode 256 | Loss: 0.328 | Policy: -0.047 | Value: 0.750 | Reward: -485.61
Episode 257 | Loss: 0.284 | Policy: -0.050 | Value: 0.667 | Reward: -485.61
Episode 258 | Loss: 0.348 | Policy: -0.028 | Value: 0.751 | Reward: -487.48
Episode 259 | Loss: 0.249 | Policy: -0.085 | Value: 0.667 | Reward: -485.61
Episode 260 | Loss: 0.309 | Policy: -0.026 | Value: 0.669 | Reward: -485.61
Episode 261 | Loss: 0.363 | Policy: -0.012 | Value: 0.750 | Reward: -475.61
