C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([4])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 99 | Loss: 0.272 | Policy: -0.062 | Value: 0.667 | Reward: -483.11
Episode 100 | Loss: 0.506 | Policy: 0.123 | Value: 0.767 | Reward: -475.61
Episode 101 | Loss: 0.551 | Policy: 0.158 | Value: 0.784 | Reward: -475.61
Episode 102 | Loss: 0.474 | Policy: 0.119 | Value: 0.711 | Reward: -483.11
Episode 103 | Loss: 0.308 | Policy: -0.026 | Value: 0.668 | Reward: -483.11
Episode 104 | Loss: 0.169 | Policy: -0.195 | Value: 0.727 | Reward: -483.11
Episode 105 | Loss: 0.263 | Policy: -0.156 | Value: 0.839 | Reward: -475.61
Episode 106 | Loss: 0.133 | Policy: -0.268 | Value: 0.802 | Reward: -483.11
Episode 107 | Loss: 0.304 | Policy: -0.090 | Value: 0.789 | Reward: -475.61
Episode 108 | Loss: 0.285 | Policy: -0.048 | Value: 0.667 | Reward: -483.11
Episode 109 | Loss: 0.483 | Policy: 0.125 | Value: 0.715 | Reward: -485.61
Episode 110 | Loss: 0.567 | Policy: 0.191 | Value: 0.753 | Reward: -483.11
Episode 111 | Loss: 0.533 | Policy: 0.144 | Value: 0.777 | Reward: -475.61
Episode 112 | Loss: 0.332 | Policy: -0.004 | Value: 0.672 | Reward: -483.11
Episode 113 | Loss: 0.185 | Policy: -0.169 | Value: 0.708 | Reward: -483.11
Episode 114 | Loss: -0.127 | Policy: -0.480 | Value: 0.707 | Reward: -493.11
Episode 115 | Loss: 0.146 | Policy: -0.237 | Value: 0.767 | Reward: -483.11
Episode 116 | Loss: 0.322 | Policy: -0.065 | Value: 0.775 | Reward: -475.61
Episode 117 | Loss: 0.315 | Policy: -0.020 | Value: 0.669 | Reward: -483.11
Episode 118 | Loss: 0.397 | Policy: 0.054 | Value: 0.685 | Reward: -483.11
Episode 119 | Loss: 0.360 | Policy: 0.022 | Value: 0.677 | Reward: -483.11
Episode 120 | Loss: 0.256 | Policy: -0.079 | Value: 0.669 | Reward: -483.11
Episode 121 | Loss: 0.246 | Policy: -0.090 | Value: 0.672 | Reward: -483.11
Episode 122 | Loss: 0.305 | Policy: -0.029 | Value: 0.668 | Reward: -483.11
Episode 123 | Loss: 0.409 | Policy: 0.034 | Value: 0.750 | Reward: -473.11
Episode 124 | Loss: 0.412 | Policy: 0.037 | Value: 0.750 | Reward: -475.61
Episode 125 | Loss: 0.426 | Policy: 0.051 | Value: 0.750 | Reward: -473.11
Episode 126 | Loss: 0.234 | Policy: -0.018 | Value: 0.503 | Reward: -493.11
Episode 127 | Loss: 0.348 | Policy: -0.033 | Value: 0.762 | Reward: -475.61
Episode 128 | Loss: 0.351 | Policy: -0.031 | Value: 0.763 | Reward: -473.11
Episode 129 | Loss: 0.395 | Policy: 0.020 | Value: 0.751 | Reward: -475.61
Episode 130 | Loss: 0.430 | Policy: 0.082 | Value: 0.695 | Reward: -483.11
Episode 131 | Loss: 0.519 | Policy: 0.133 | Value: 0.772 | Reward: -475.61
Episode 132 | Loss: 0.401 | Policy: 0.058 | Value: 0.687 | Reward: -485.61
Episode 133 | Loss: 0.261 | Policy: -0.074 | Value: 0.669 | Reward: -483.11
Episode 134 | Loss: 0.234 | Policy: -0.103 | Value: 0.675 | Reward: -483.11
Episode 135 | Loss: 0.274 | Policy: -0.059 | Value: 0.667 | Reward: -483.11
Episode 136 | Loss: 0.467 | Policy: 0.089 | Value: 0.756 | Reward: -475.61
Episode 137 | Loss: 0.400 | Policy: 0.056 | Value: 0.686 | Reward: -483.11
Episode 138 | Loss: 0.420 | Policy: 0.044 | Value: 0.750 | Reward: -475.61
Episode 139 | Loss: 0.236 | Policy: -0.101 | Value: 0.675 | Reward: -483.11
Episode 140 | Loss: 0.097 | Policy: -0.158 | Value: 0.509 | Reward: -493.11
Episode 141 | Loss: 0.420 | Policy: 0.045 | Value: 0.750 | Reward: -475.61
Episode 142 | Loss: 0.380 | Policy: 0.110 | Value: 0.540 | Reward: -493.11
Episode 143 | Loss: 0.327 | Policy: -0.008 | Value: 0.671 | Reward: -483.11
Episode 144 | Loss: 0.086 | Policy: -0.170 | Value: 0.512 | Reward: -493.11
Episode 145 | Loss: 0.220 | Policy: -0.120 | Value: 0.682 | Reward: -483.11
Episode 146 | Loss: 0.393 | Policy: 0.017 | Value: 0.751 | Reward: -473.11
Episode 147 | Loss: 0.426 | Policy: 0.079 | Value: 0.694 | Reward: -483.11
Episode 148 | Loss: 0.579 | Policy: 0.261 | Value: 0.636 | Reward: -493.11
Episode 149 | Loss: 0.487 | Policy: 0.106 | Value: 0.761 | Reward: -475.61
Episode 150 | Loss: 0.280 | Policy: -0.053 | Value: 0.667 | Reward: -485.61
Episode 151 | Loss: 0.219 | Policy: -0.123 | Value: 0.682 | Reward: -483.11
Episode 152 | Loss: 0.225 | Policy: -0.115 | Value: 0.679 | Reward: -483.11
Episode 153 | Loss: 0.295 | Policy: -0.039 | Value: 0.667 | Reward: -483.11
Episode 154 | Loss: 0.440 | Policy: 0.064 | Value: 0.752 | Reward: -475.61
Episode 155 | Loss: 0.409 | Policy: 0.034 | Value: 0.750 | Reward: -475.61
Episode 156 | Loss: 0.272 | Policy: -0.062 | Value: 0.667 | Reward: -483.11
Episode 157 | Loss: 0.308 | Policy: -0.026 | Value: 0.668 | Reward: -483.11
Episode 158 | Loss: 0.271 | Policy: -0.062 | Value: 0.667 | Reward: -483.11
Episode 159 | Loss: 0.418 | Policy: 0.043 | Value: 0.750 | Reward: -473.11
Episode 160 | Loss: 0.435 | Policy: 0.059 | Value: 0.751 | Reward: -475.61
Episode 161 | Loss: 0.294 | Policy: -0.039 | Value: 0.667 | Reward: -483.11
Episode 162 | Loss: 0.364 | Policy: -0.015 | Value: 0.756 | Reward: -475.61
Episode 163 | Loss: 0.253 | Policy: -0.082 | Value: 0.670 | Reward: -483.11
