Episode 106 | Loss: -0.026 | Policy: -0.135 | Value: 0.218 | Reward: -50.03
Episode 107 | Loss: -0.098 | Policy: -0.137 | Value: 0.079 | Reward: -50.03
Episode 108 | Loss: 0.457 | Policy: 0.362 | Value: 0.193 | Reward: -60.03
Episode 109 | Loss: 0.610 | Policy: 0.459 | Value: 0.303 | Reward: -60.04
Episode 110 | Loss: 0.097 | Policy: 0.088 | Value: 0.020 | Reward: -50.03
Episode 111 | Loss: 0.014 | Policy: 0.009 | Value: 0.012 | Reward: -60.04
Episode 112 | Loss: -0.071 | Policy: -0.202 | Value: 0.263 | Reward: -60.03
Episode 113 | Loss: 0.010 | Policy: -0.260 | Value: 0.542 | Reward: -60.03
Episode 114 | Loss: 0.006 | Policy: -0.226 | Value: 0.467 | Reward: -60.03
Episode 115 | Loss: -0.035 | Policy: -0.109 | Value: 0.151 | Reward: -60.03
Episode 116 | Loss: 0.182 | Policy: 0.160 | Value: 0.049 | Reward: -60.03
Episode 117 | Loss: 0.440 | Policy: 0.351 | Value: 0.180 | Reward: -60.03
Episode 118 | Loss: 0.400 | Policy: 0.332 | Value: 0.141 | Reward: -60.03
Episode 119 | Loss: 0.107 | Policy: 0.097 | Value: 0.024 | Reward: -60.03
Episode 120 | Loss: -0.027 | Policy: -0.128 | Value: 0.206 | Reward: -60.04
Episode 121 | Loss: 0.257 | Policy: -0.228 | Value: 0.974 | Reward: -50.04
Episode 122 | Loss: -0.029 | Policy: -0.181 | Value: 0.307 | Reward: -60.04
Episode 123 | Loss: -0.051 | Policy: -0.077 | Value: 0.055 | Reward: -60.03
Episode 124 | Loss: 0.027 | Policy: 0.026 | Value: 0.005 | Reward: -50.04
Episode 125 | Loss: 1.116 | Policy: 0.743 | Value: 0.750 | Reward: -60.04
Episode 126 | Loss: 1.559 | Policy: 0.948 | Value: 1.228 | Reward: -60.04
Episode 127 | Loss: 1.500 | Policy: 0.918 | Value: 1.170 | Reward: -60.04
Episode 128 | Loss: 1.020 | Policy: 0.683 | Value: 0.680 | Reward: -60.04
Episode 129 | Loss: 0.103 | Policy: 0.080 | Value: 0.055 | Reward: -50.03
Episode 130 | Loss: -0.169 | Policy: -0.299 | Value: 0.272 | Reward: -50.03
Episode 131 | Loss: -0.176 | Policy: -0.341 | Value: 0.345 | Reward: -60.04
Episode 132 | Loss: -0.038 | Policy: -0.372 | Value: 0.681 | Reward: -50.03
Episode 133 | Loss: -0.161 | Policy: -0.246 | Value: 0.182 | Reward: -60.03
Episode 134 | Loss: -0.073 | Policy: -0.108 | Value: 0.075 | Reward: -50.03
Episode 135 | Loss: 0.514 | Policy: 0.382 | Value: 0.269 | Reward: -50.03
Episode 136 | Loss: 0.670 | Policy: 0.481 | Value: 0.379 | Reward: -40.03
Episode 137 | Loss: 1.040 | Policy: 0.688 | Value: 0.707 | Reward: -50.03
Episode 138 | Loss: 0.428 | Policy: 0.337 | Value: 0.183 | Reward: -40.03
Episode 139 | Loss: 0.197 | Policy: 0.171 | Value: 0.053 | Reward: -50.03
Episode 140 | Loss: -0.063 | Policy: -0.071 | Value: 0.018 | Reward: -60.03
Episode 141 | Loss: 0.072 | Policy: -0.179 | Value: 0.501 | Reward: -50.03
Episode 142 | Loss: 0.108 | Policy: -0.173 | Value: 0.562 | Reward: -50.03
Episode 143 | Loss: 0.043 | Policy: -0.110 | Value: 0.308 | Reward: -50.03
Episode 144 | Loss: 0.020 | Policy: 0.003 | Value: 0.034 | Reward: -50.03
Episode 145 | Loss: 0.536 | Policy: 0.413 | Value: 0.247 | Reward: -50.03
Episode 146 | Loss: 0.999 | Policy: 0.678 | Value: 0.642 | Reward: -50.03
Episode 147 | Loss: 1.768 | Policy: 1.043 | Value: 1.450 | Reward: -60.03
Episode 148 | Loss: 0.763 | Policy: 0.550 | Value: 0.428 | Reward: -50.03
Episode 149 | Loss: 0.706 | Policy: 0.522 | Value: 0.369 | Reward: -60.03
Episode 150 | Loss: 0.024 | Policy: -0.050 | Value: 0.148 | Reward: -50.03
Episode 151 | Loss: 0.091 | Policy: -0.130 | Value: 0.444 | Reward: -50.03
Episode 152 | Loss: 0.100 | Policy: -0.146 | Value: 0.495 | Reward: -50.03
Episode 153 | Loss: 0.401 | Policy: -0.117 | Value: 1.039 | Reward: -30.04
Episode 154 | Loss: 0.199 | Policy: 0.178 | Value: 0.046 | Reward: -60.03
Episode 155 | Loss: 0.325 | Policy: 0.274 | Value: 0.105 | Reward: -60.03
Episode 156 | Loss: 0.080 | Policy: -0.014 | Value: 0.194 | Reward: 39.96
Episode 157 | Loss: 0.025 | Policy: -0.057 | Value: 0.173 | Reward: -30.03
Episode 158 | Loss: 0.733 | Policy: 0.533 | Value: 0.407 | Reward: -60.03
Episode 159 | Loss: 0.006 | Policy: -0.003 | Value: 0.031 | Reward: 79.96
Episode 160 | Loss: 0.392 | Policy: 0.304 | Value: 0.189 | Reward: 59.95
Episode 161 | Loss: 0.657 | Policy: 0.468 | Value: 0.391 | Reward: 49.96
Episode 162 | Loss: 0.221 | Policy: 0.185 | Value: 0.077 | Reward: 49.96
Episode 163 | Loss: 0.479 | Policy: 0.367 | Value: 0.227 | Reward: -60.03
Episode 164 | Loss: -0.086 | Policy: -0.103 | Value: 0.038 | Reward: -60.03
Episode 165 | Loss: 0.006 | Policy: -0.209 | Value: 0.432 | Reward: -50.03
Episode 166 | Loss: 0.228 | Policy: -0.201 | Value: 0.859 | Reward: -40.03
Episode 167 | Loss: -0.090 | Policy: -0.122 | Value: 0.063 | Reward: -60.03
Episode 168 | Loss: 0.135 | Policy: 0.121 | Value: 0.027 | Reward: -60.03
Episode 169 | Loss: 0.275 | Policy: 0.235 | Value: 0.080 | Reward: -60.03
Episode 170 | Loss: -0.022 | Policy: -0.032 | Value: 0.019 | Reward: -50.04
Episode 171 | Loss: 0.014 | Policy: 0.013 | Value: 0.003 | Reward: -50.04
Episode 172 | Loss: 0.632 | Policy: 0.478 | Value: 0.309 | Reward: -60.03
Episode 173 | Loss: 0.644 | Policy: 0.485 | Value: 0.319 | Reward: -60.03
Episode 174 | Loss: -0.008 | Policy: -0.028 | Value: 0.039 | Reward: -40.03
Episode 175 | Loss: 0.082 | Policy: 0.076 | Value: 0.012 | Reward: -50.03
Episode 176 | Loss: 0.189 | Policy: 0.166 | Value: 0.045 | Reward: -60.03
Episode 177 | Loss: -0.077 | Policy: -0.096 | Value: 0.038 | Reward: -60.03
Episode 178 | Loss: -0.088 | Policy: -0.138 | Value: 0.100 | Reward: -60.03
Episode 179 | Loss: 0.115 | Policy: -0.148 | Value: 0.524 | Reward: -40.03
Episode 180 | Loss: 0.080 | Policy: 0.074 | Value: 0.014 | Reward: -60.03
Episode 181 | Loss: -0.006 | Policy: -0.074 | Value: 0.136 | Reward: -40.04
Episode 182 | Loss: 0.442 | Policy: 0.354 | Value: 0.176 | Reward: -60.03
Episode 183 | Loss: 0.008 | Policy: 0.002 | Value: 0.013 | Reward: -40.04
