Episode 133 | Loss: 1.526 | Policy: 0.924 | Value: 1.205 | Reward: -1760.34
Episode 134 | Loss: 2.123 | Policy: 1.170 | Value: 1.907 | Reward: -1700.39
Episode 135 | Loss: 1.410 | Policy: 0.874 | Value: 1.073 | Reward: -1700.34
Episode 136 | Loss: 0.242 | Policy: 0.179 | Value: 0.126 | Reward: -1760.34
Episode 137 | Loss: 0.215 | Policy: -0.185 | Value: 0.799 | Reward: -1760.34
Episode 138 | Loss: 0.214 | Policy: -0.226 | Value: 0.881 | Reward: -1700.39
Episode 139 | Loss: 0.256 | Policy: -0.254 | Value: 1.021 | Reward: -1700.39
Episode 140 | Loss: 0.082 | Policy: -0.199 | Value: 0.563 | Reward: -1700.39
Episode 141 | Loss: -0.049 | Policy: -0.071 | Value: 0.044 | Reward: -1700.39
Episode 142 | Loss: 0.748 | Policy: 0.537 | Value: 0.421 | Reward: -1700.26
Episode 143 | Loss: 1.456 | Policy: 0.890 | Value: 1.132 | Reward: -1700.39
Episode 144 | Loss: 1.555 | Policy: 0.932 | Value: 1.246 | Reward: -1700.39
Episode 145 | Loss: 1.050 | Policy: 0.696 | Value: 0.709 | Reward: -1700.39
Episode 146 | Loss: 0.255 | Policy: 0.212 | Value: 0.086 | Reward: -1700.39
Episode 147 | Loss: -0.025 | Policy: -0.194 | Value: 0.338 | Reward: -1700.31
Episode 148 | Loss: 0.199 | Policy: -0.299 | Value: 0.996 | Reward: -1700.39
Episode 149 | Loss: 0.649 | Policy: -0.463 | Value: 2.225 | Reward: -1760.39
Episode 150 | Loss: 0.066 | Policy: -0.250 | Value: 0.632 | Reward: -1700.26
Episode 151 | Loss: -0.079 | Policy: -0.114 | Value: 0.070 | Reward: -1700.29
Episode 152 | Loss: 0.197 | Policy: 0.166 | Value: 0.062 | Reward: -1760.34
Episode 153 | Loss: 1.346 | Policy: 0.836 | Value: 1.020 | Reward: -1700.34
Episode 154 | Loss: 1.450 | Policy: 0.883 | Value: 1.134 | Reward: -1700.31
Episode 155 | Loss: 0.387 | Policy: 0.307 | Value: 0.160 | Reward: -1760.34
Episode 156 | Loss: 0.234 | Policy: 0.194 | Value: 0.080 | Reward: -1700.39
Episode 157 | Loss: 0.207 | Policy: -0.307 | Value: 1.028 | Reward: -1760.34
Episode 158 | Loss: 0.177 | Policy: -0.296 | Value: 0.947 | Reward: -1700.39
Episode 159 | Loss: 0.614 | Policy: -0.455 | Value: 2.138 | Reward: -1760.39
Episode 160 | Loss: 0.051 | Policy: -0.243 | Value: 0.587 | Reward: -1700.29
Episode 161 | Loss: 0.041 | Policy: -0.188 | Value: 0.458 | Reward: -1760.34
Episode 162 | Loss: 0.653 | Policy: 0.478 | Value: 0.350 | Reward: -1700.29
Episode 163 | Loss: 1.309 | Policy: 0.821 | Value: 0.977 | Reward: -1700.26
Episode 164 | Loss: 1.412 | Policy: 0.869 | Value: 1.087 | Reward: -1700.29
Episode 165 | Loss: 0.405 | Policy: 0.318 | Value: 0.175 | Reward: -1760.26
Episode 166 | Loss: 0.247 | Policy: 0.208 | Value: 0.078 | Reward: -1700.26
Episode 167 | Loss: 0.189 | Policy: -0.268 | Value: 0.915 | Reward: -1760.34
Episode 168 | Loss: 0.499 | Policy: -0.393 | Value: 1.783 | Reward: -1760.34
Episode 169 | Loss: 0.193 | Policy: -0.271 | Value: 0.928 | Reward: -1700.31
Episode 170 | Loss: 0.047 | Policy: -0.207 | Value: 0.509 | Reward: -1700.29
Episode 171 | Loss: -0.055 | Policy: -0.077 | Value: 0.044 | Reward: -1700.26
Episode 172 | Loss: 0.661 | Policy: 0.487 | Value: 0.348 | Reward: -1700.39
Episode 173 | Loss: 1.290 | Policy: 0.816 | Value: 0.948 | Reward: -1700.31
Episode 174 | Loss: 1.390 | Policy: 0.862 | Value: 1.054 | Reward: -1700.34
Episode 175 | Loss: 0.447 | Policy: 0.342 | Value: 0.210 | Reward: -1760.34
Episode 176 | Loss: 0.265 | Policy: 0.224 | Value: 0.083 | Reward: -1700.39
Episode 177 | Loss: -0.019 | Policy: -0.138 | Value: 0.238 | Reward: -1700.26
Episode 178 | Loss: 0.141 | Policy: -0.230 | Value: 0.743 | Reward: -1700.39
Episode 179 | Loss: 0.501 | Policy: -0.366 | Value: 1.733 | Reward: -1760.34
Episode 180 | Loss: 0.028 | Policy: -0.174 | Value: 0.406 | Reward: -1700.26
Episode 181 | Loss: 0.047 | Policy: -0.095 | Value: 0.284 | Reward: -1760.39
Episode 182 | Loss: 0.878 | Policy: 0.611 | Value: 0.535 | Reward: -1700.26
Episode 183 | Loss: 1.569 | Policy: 0.943 | Value: 1.253 | Reward: -1700.39
Episode 184 | Loss: 1.645 | Policy: 0.975 | Value: 1.340 | Reward: -1700.26
Episode 185 | Loss: 0.601 | Policy: 0.443 | Value: 0.315 | Reward: -1760.26
Episode 186 | Loss: 0.127 | Policy: 0.091 | Value: 0.072 | Reward: -1760.34
Episode 187 | Loss: 0.129 | Policy: 0.114 | Value: 0.030 | Reward: -1700.39
Episode 188 | Loss: -0.057 | Policy: -0.121 | Value: 0.128 | Reward: -1700.39
Episode 189 | Loss: -0.042 | Policy: -0.162 | Value: 0.240 | Reward: -1700.39
Episode 190 | Loss: -0.072 | Policy: -0.127 | Value: 0.109 | Reward: -1700.39
Episode 191 | Loss: -0.013 | Policy: -0.078 | Value: 0.130 | Reward: -1760.34
Episode 192 | Loss: 1.021 | Policy: 0.676 | Value: 0.689 | Reward: -1700.34
Episode 193 | Loss: 0.833 | Policy: 0.588 | Value: 0.489 | Reward: -1760.34
Episode 194 | Loss: 0.827 | Policy: 0.585 | Value: 0.484 | Reward: -1760.34
Episode 195 | Loss: 0.429 | Policy: 0.339 | Value: 0.180 | Reward: -1760.29
Episode 196 | Loss: 0.335 | Policy: 0.261 | Value: 0.149 | Reward: -1700.31
Episode 197 | Loss: -0.080 | Policy: -0.189 | Value: 0.219 | Reward: -1700.26
Episode 198 | Loss: 0.069 | Policy: -0.285 | Value: 0.707 | Reward: -1700.29
Episode 199 | Loss: 0.113 | Policy: -0.302 | Value: 0.832 | Reward: -1700.34
Episode 200 | Loss: 0.294 | Policy: -0.378 | Value: 1.344 | Reward: -1760.34
Episode 201 | Loss: -0.095 | Policy: -0.137 | Value: 0.084 | Reward: -1700.26
Episode 202 | Loss: 0.068 | Policy: 0.056 | Value: 0.025 | Reward: -1760.34
Episode 203 | Loss: 1.309 | Policy: 0.807 | Value: 1.004 | Reward: -1700.39
Episode 204 | Loss: 1.626 | Policy: 0.945 | Value: 1.362 | Reward: -1700.31
Episode 205 | Loss: 1.380 | Policy: 0.835 | Value: 1.090 | Reward: -1700.39
Episode 206 | Loss: 0.110 | Policy: 0.096 | Value: 0.029 | Reward: -1760.34
Episode 207 | Loss: 0.007 | Policy: -0.026 | Value: 0.068 | Reward: -1700.31
Episode 208 | Loss: -0.054 | Policy: -0.212 | Value: 0.318 | Reward: -1700.34
Episode 209 | Loss: 0.338 | Policy: -0.360 | Value: 1.397 | Reward: -1760.26
Episode 210 | Loss: -0.003 | Policy: -0.194 | Value: 0.382 | Reward: -1700.39
Episode 211 | Loss: 0.174 | Policy: 0.126 | Value: 0.097 | Reward: -1650.44
Episode 212 | Loss: -0.033 | Policy: -0.053 | Value: 0.040 | Reward: -1700.31
Episode 213 | Loss: 0.083 | Policy: 0.014 | Value: 0.140 | Reward: -1760.26
Episode 214 | Loss: 0.853 | Policy: 0.597 | Value: 0.514 | Reward: -1700.39
Episode 215 | Loss: 1.243 | Policy: 0.794 | Value: 0.900 | Reward: -1700.34
Episode 216 | Loss: 0.739 | Policy: 0.506 | Value: 0.466 | Reward: -1760.29
Episode 217 | Loss: 0.658 | Policy: 0.473 | Value: 0.372 | Reward: -1700.26
Episode 218 | Loss: 0.180 | Policy: 0.037 | Value: 0.287 | Reward: -1760.34
Episode 219 | Loss: 0.101 | Policy: 0.028 | Value: 0.149 | Reward: -1700.39
Episode 220 | Loss: 0.160 | Policy: -0.016 | Value: 0.355 | Reward: -1760.34
Episode 221 | Loss: 0.254 | Policy: 0.208 | Value: 0.098 | Reward: -1700.39
Episode 222 | Loss: 0.260 | Policy: 0.216 | Value: 0.097 | Reward: -1700.26
Episode 223 | Loss: 1.978 | Policy: 0.412 | Value: 3.146 | Reward: -680.50
Episode 224 | Loss: 1.093 | Policy: -0.082 | Value: 2.362 | Reward: -990.32
Episode 225 | Loss: 1.248 | Policy: 0.191 | Value: 2.126 | Reward: -940.40
Episode 226 | Loss: 1.430 | Policy: 0.069 | Value: 2.731 | Reward: -720.40
Episode 227 | Loss: 0.127 | Policy: 0.008 | Value: 0.240 | Reward: -1700.26
Episode 228 | Loss: 0.334 | Policy: 0.193 | Value: 0.283 | Reward: -1760.34
Episode 229 | Loss: 1.091 | Policy: 0.689 | Value: 0.805 | Reward: -1700.39
Episode 230 | Loss: 1.361 | Policy: 0.811 | Value: 1.099 | Reward: -1760.34
Episode 231 | Loss: 1.424 | Policy: 0.841 | Value: 1.166 | Reward: -1760.34
Episode 232 | Loss: 1.067 | Policy: 0.664 | Value: 0.807 | Reward: -1760.34
Episode 233 | Loss: 0.670 | Policy: 0.458 | Value: 0.424 | Reward: -1700.34
