Episode 178 | Loss: -0.090 | Policy: -0.279 | Value: 0.428 | Reward: 6009.15
Episode 179 | Loss: -0.123 | Policy: -0.179 | Value: 0.162 | Reward: 6009.08
Episode 180 | Loss: 0.017 | Policy: 0.040 | Value: 0.003 | Reward: 6009.08
Episode 181 | Loss: 0.187 | Policy: 0.187 | Value: 0.052 | Reward: 6009.15
Episode 182 | Loss: 0.120 | Policy: 0.132 | Value: 0.026 | Reward: 6009.38
Episode 183 | Loss: -0.089 | Policy: -0.073 | Value: 0.018 | Reward: 6009.13
Episode 184 | Loss: -0.080 | Policy: -0.068 | Value: 0.027 | Reward: 6009.33
Episode 185 | Loss: 0.006 | Policy: 0.031 | Value: 0.002 | Reward: 6009.35
Episode 186 | Loss: -0.029 | Policy: -0.003 | Value: 0.000 | Reward: 6009.08
Episode 187 | Loss: 0.174 | Policy: 0.175 | Value: 0.053 | Reward: 6004.25
Episode 188 | Loss: -0.068 | Policy: -0.044 | Value: 0.007 | Reward: 6009.10
Episode 189 | Loss: -0.019 | Policy: 0.008 | Value: 0.001 | Reward: 6009.13
Episode 190 | Loss: -0.035 | Policy: -0.008 | Value: 0.002 | Reward: 6009.13
Episode 191 | Loss: 0.124 | Policy: 0.138 | Value: 0.027 | Reward: 6009.05
Episode 192 | Loss: 0.064 | Policy: 0.085 | Value: 0.011 | Reward: 6009.28
Episode 193 | Loss: -0.087 | Policy: -0.076 | Value: 0.030 | Reward: 6009.23
Episode 194 | Loss: -0.112 | Policy: -0.104 | Value: 0.037 | Reward: 6009.43
Episode 195 | Loss: -0.015 | Policy: 0.011 | Value: 0.001 | Reward: 6009.18
Episode 196 | Loss: -0.030 | Policy: -0.004 | Value: 0.000 | Reward: 6009.05
Episode 197 | Loss: 0.044 | Policy: 0.068 | Value: 0.007 | Reward: 6009.25
Episode 198 | Loss: -0.047 | Policy: -0.022 | Value: 0.005 | Reward: 6009.08
Episode 199 | Loss: -0.001 | Policy: 0.026 | Value: 0.001 | Reward: 6009.30
Episode 200 | Loss: -0.067 | Policy: -0.046 | Value: 0.013 | Reward: 6009.20
Episode 201 | Loss: -0.034 | Policy: -0.007 | Value: 0.001 | Reward: 6009.23
Episode 202 | Loss: 0.202 | Policy: 0.200 | Value: 0.057 | Reward: 6008.90
Episode 203 | Loss: 0.202 | Policy: 0.200 | Value: 0.059 | Reward: 6008.98
Episode 204 | Loss: -0.001 | Policy: 0.025 | Value: 0.002 | Reward: 6009.05
Episode 205 | Loss: -0.103 | Policy: -0.141 | Value: 0.129 | Reward: 6009.48
Episode 206 | Loss: -0.164 | Policy: -0.251 | Value: 0.227 | Reward: 6009.35
Episode 207 | Loss: -0.123 | Policy: -0.165 | Value: 0.138 | Reward: 6009.05
Episode 208 | Loss: -0.039 | Policy: -0.021 | Value: 0.017 | Reward: 6009.23
Episode 209 | Loss: 0.371 | Policy: 0.319 | Value: 0.159 | Reward: 6009.23
Episode 210 | Loss: 0.596 | Policy: 0.466 | Value: 0.313 | Reward: 6009.35
Episode 211 | Loss: 0.491 | Policy: 0.399 | Value: 0.238 | Reward: 6009.35
Episode 212 | Loss: 0.167 | Policy: 0.168 | Value: 0.051 | Reward: 6009.30
Episode 213 | Loss: -0.046 | Policy: -0.072 | Value: 0.105 | Reward: 6009.50
Episode 214 | Loss: -0.040 | Policy: -0.146 | Value: 0.263 | Reward: 6009.13
Episode 215 | Loss: -0.061 | Policy: -0.146 | Value: 0.223 | Reward: 6009.28
Episode 216 | Loss: -0.066 | Policy: -0.064 | Value: 0.049 | Reward: 6009.33
Episode 217 | Loss: 0.213 | Policy: 0.207 | Value: 0.065 | Reward: 6009.38
Episode 218 | Loss: 0.423 | Policy: 0.356 | Value: 0.187 | Reward: 6009.18
Episode 219 | Loss: 0.534 | Policy: 0.427 | Value: 0.267 | Reward: 6004.03
Episode 220 | Loss: 0.079 | Policy: 0.096 | Value: 0.020 | Reward: 6009.13
Episode 221 | Loss: -0.134 | Policy: -0.161 | Value: 0.109 | Reward: 6009.25
Episode 222 | Loss: -0.140 | Policy: -0.244 | Value: 0.262 | Reward: 6009.05
Episode 223 | Loss: -0.146 | Policy: -0.228 | Value: 0.219 | Reward: 6009.20
Episode 224 | Loss: -0.130 | Policy: -0.129 | Value: 0.053 | Reward: 6009.13
Episode 225 | Loss: 0.172 | Policy: 0.173 | Value: 0.054 | Reward: 6009.05
Episode 226 | Loss: 0.368 | Policy: 0.317 | Value: 0.156 | Reward: 6009.15
Episode 227 | Loss: 0.307 | Policy: 0.277 | Value: 0.114 | Reward: 6009.08
Episode 228 | Loss: 0.038 | Policy: 0.062 | Value: 0.006 | Reward: 6009.08
Episode 229 | Loss: -0.108 | Policy: -0.147 | Value: 0.132 | Reward: 6009.28
Episode 230 | Loss: -0.114 | Policy: -0.237 | Value: 0.298 | Reward: 6008.98
Episode 231 | Loss: -0.102 | Policy: -0.203 | Value: 0.255 | Reward: 6009.35
Episode 232 | Loss: -0.102 | Policy: -0.109 | Value: 0.068 | Reward: 6009.23
Episode 233 | Loss: 0.139 | Policy: 0.149 | Value: 0.034 | Reward: 6009.20
Episode 234 | Loss: 0.333 | Policy: 0.296 | Value: 0.129 | Reward: 6009.28
Episode 235 | Loss: 0.278 | Policy: 0.256 | Value: 0.098 | Reward: 6009.20
Episode 236 | Loss: 0.033 | Policy: 0.057 | Value: 0.005 | Reward: 6009.05
Episode 237 | Loss: -0.129 | Policy: -0.164 | Value: 0.125 | Reward: 6008.98
Episode 238 | Loss: -0.162 | Policy: -0.274 | Value: 0.277 | Reward: 6009.05
Episode 239 | Loss: -0.137 | Policy: -0.228 | Value: 0.237 | Reward: 6008.98
Episode 240 | Loss: -0.125 | Policy: -0.130 | Value: 0.063 | Reward: 6009.13
Episode 241 | Loss: 0.126 | Policy: 0.136 | Value: 0.033 | Reward: 6009.28
Episode 242 | Loss: 0.306 | Policy: 0.274 | Value: 0.117 | Reward: 6008.93
Episode 243 | Loss: 0.250 | Policy: 0.234 | Value: 0.084 | Reward: 6009.33
Episode 244 | Loss: 0.009 | Policy: 0.034 | Value: 0.002 | Reward: 6009.08
Episode 245 | Loss: -0.127 | Policy: -0.173 | Value: 0.144 | Reward: 6009.25
Episode 246 | Loss: -0.106 | Policy: -0.236 | Value: 0.311 | Reward: 6008.98
Episode 247 | Loss: -0.110 | Policy: -0.218 | Value: 0.268 | Reward: 6009.03
Episode 248 | Loss: -0.095 | Policy: -0.110 | Value: 0.083 | Reward: 6009.15
Episode 249 | Loss: 0.100 | Policy: 0.115 | Value: 0.023 | Reward: 6004.19
Episode 250 | Loss: 0.282 | Policy: 0.260 | Value: 0.099 | Reward: 6009.10
Episode 251 | Loss: 0.242 | Policy: 0.230 | Value: 0.078 | Reward: 6009.40
Episode 252 | Loss: 0.016 | Policy: 0.041 | Value: 0.003 | Reward: 6009.20
Episode 253 | Loss: -0.130 | Policy: -0.160 | Value: 0.114 | Reward: 6009.08
Episode 254 | Loss: -0.130 | Policy: -0.222 | Value: 0.238 | Reward: 6009.13
Episode 255 | Loss: -0.137 | Policy: -0.203 | Value: 0.188 | Reward: 6009.28
Episode 256 | Loss: -0.113 | Policy: -0.106 | Value: 0.043 | Reward: 6009.38
Episode 257 | Loss: 0.163 | Policy: 0.166 | Value: 0.051 | Reward: 6009.08
Episode 258 | Loss: 0.350 | Policy: 0.303 | Value: 0.149 | Reward: 6009.00
Episode 259 | Loss: 0.303 | Policy: 0.272 | Value: 0.117 | Reward: 6009.03
Episode 260 | Loss: 0.068 | Policy: 0.088 | Value: 0.014 | Reward: 6009.33
Episode 261 | Loss: -0.115 | Policy: -0.127 | Value: 0.079 | Reward: 6009.03
Episode 262 | Loss: -0.127 | Policy: -0.197 | Value: 0.195 | Reward: 6009.15
Episode 263 | Loss: -0.121 | Policy: -0.174 | Value: 0.160 | Reward: 6009.05
Episode 264 | Loss: -0.074 | Policy: -0.064 | Value: 0.033 | Reward: 6009.18
Episode 265 | Loss: 0.183 | Policy: 0.184 | Value: 0.052 | Reward: 6009.23
Episode 266 | Loss: 0.376 | Policy: 0.326 | Value: 0.152 | Reward: 6009.08
Episode 267 | Loss: 0.327 | Policy: 0.292 | Value: 0.125 | Reward: 6009.18
