Episode 99 | Loss: 0.157 | Policy: 0.145 | Value: 0.035 | Reward: -862.62
Episode 100 | Loss: 0.011 | Policy: -0.100 | Value: 0.233 | Reward: -763.37
Episode 101 | Loss: -0.069 | Policy: -0.112 | Value: 0.098 | Reward: -863.12
Episode 102 | Loss: -0.004 | Policy: -0.090 | Value: 0.184 | Reward: -763.12
Episode 103 | Loss: 0.203 | Policy: 0.181 | Value: 0.055 | Reward: -862.87
Episode 104 | Loss: 0.057 | Policy: 0.057 | Value: 0.011 | Reward: -762.62
Episode 105 | Loss: 0.141 | Policy: 0.130 | Value: 0.033 | Reward: -863.62
Episode 106 | Loss: 0.080 | Policy: 0.071 | Value: 0.031 | Reward: -962.87
Episode 107 | Loss: 0.020 | Policy: -0.292 | Value: 0.638 | Reward: -863.12
Episode 108 | Loss: 0.553 | Policy: -0.363 | Value: 1.845 | Reward: -763.12
Episode 109 | Loss: 0.182 | Policy: -0.400 | Value: 1.178 | Reward: -863.12
Episode 110 | Loss: 0.046 | Policy: -0.312 | Value: 0.731 | Reward: -863.12
Episode 111 | Loss: -0.071 | Policy: -0.147 | Value: 0.166 | Reward: -863.87
Episode 112 | Loss: 0.218 | Policy: 0.197 | Value: 0.056 | Reward: -863.12
Episode 113 | Loss: 0.640 | Policy: 0.484 | Value: 0.327 | Reward: -863.12
Episode 114 | Loss: 0.756 | Policy: 0.551 | Value: 0.423 | Reward: -862.87
Episode 115 | Loss: 0.186 | Policy: 0.168 | Value: 0.049 | Reward: -762.62
Episode 116 | Loss: 0.118 | Policy: 0.114 | Value: 0.019 | Reward: -863.12
Episode 117 | Loss: -0.035 | Policy: -0.116 | Value: 0.173 | Reward: -863.12
Episode 118 | Loss: 0.029 | Policy: -0.193 | Value: 0.453 | Reward: -863.12
Episode 119 | Loss: 0.028 | Policy: -0.190 | Value: 0.447 | Reward: -863.12
Episode 120 | Loss: -0.037 | Policy: -0.126 | Value: 0.188 | Reward: -863.12
Episode 121 | Loss: 0.125 | Policy: -0.044 | Value: 0.350 | Reward: -662.87
Episode 122 | Loss: 0.374 | Policy: 0.309 | Value: 0.142 | Reward: -763.62
Episode 123 | Loss: 1.285 | Policy: 0.823 | Value: 0.939 | Reward: -862.62
Episode 124 | Loss: 0.287 | Policy: 0.232 | Value: 0.126 | Reward: -562.62
Episode 125 | Loss: 0.667 | Policy: 0.497 | Value: 0.352 | Reward: -762.62
Episode 126 | Loss: 0.205 | Policy: 0.184 | Value: 0.053 | Reward: -762.62
Episode 127 | Loss: -0.004 | Policy: -0.062 | Value: 0.127 | Reward: -762.87
Episode 128 | Loss: 0.060 | Policy: -0.130 | Value: 0.389 | Reward: -762.62
Episode 129 | Loss: -0.124 | Policy: -0.185 | Value: 0.133 | Reward: -862.62
Episode 130 | Loss: -0.011 | Policy: -0.100 | Value: 0.190 | Reward: -762.62
