H:\AI Course\GNN_VRP\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 112 | Loss: 24.060 | Policy: 1.471 | Value: 45.186 | Entropy: 0.392
Episode 113 | Loss: 26.461 | Policy: 2.674 | Value: 47.582 | Entropy: 0.393
Episode 114 | Loss: 22.449 | Policy: 0.978 | Value: 42.951 | Entropy: 0.408
Episode 115 | Loss: 30.569 | Policy: 1.343 | Value: 58.461 | Entropy: 0.424
Episode 116 | Loss: 40.899 | Policy: 0.148 | Value: 81.509 | Entropy: 0.431
Episode 117 | Loss: 23.375 | Policy: 2.088 | Value: 42.582 | Entropy: 0.452
Episode 118 | Loss: 27.997 | Policy: 2.718 | Value: 50.569 | Entropy: 0.469
Episode 119 | Loss: 57.458 | Policy: 6.384 | Value: 102.157 | Entropy: 0.486
Episode 120 | Loss: 29.101 | Policy: 3.490 | Value: 51.232 | Entropy: 0.508
Episode 121 | Loss: 35.092 | Policy: 1.151 | Value: 67.892 | Entropy: 0.526
Episode 122 | Loss: 34.014 | Policy: 0.785 | Value: 66.468 | Entropy: 0.555
Episode 123 | Loss: 26.397 | Policy: 0.841 | Value: 51.124 | Entropy: 0.566
Episode 124 | Loss: 25.929 | Policy: 3.043 | Value: 45.780 | Entropy: 0.420
Episode 125 | Loss: 24.060 | Policy: 1.031 | Value: 46.069 | Entropy: 0.510
Episode 126 | Loss: 16.960 | Policy: 1.742 | Value: 30.447 | Entropy: 0.482
Episode 127 | Loss: 38.284 | Policy: 4.199 | Value: 68.177 | Entropy: 0.434
Episode 128 | Loss: 21.511 | Policy: 0.914 | Value: 41.205 | Entropy: 0.485
Episode 129 | Loss: 20.458 | Policy: 2.253 | Value: 36.420 | Entropy: 0.486
Episode 130 | Loss: 21.074 | Policy: 1.242 | Value: 39.673 | Entropy: 0.445
Episode 131 | Loss: 25.284 | Policy: 2.277 | Value: 46.026 | Entropy: 0.557
Episode 132 | Loss: 32.251 | Policy: 2.615 | Value: 59.282 | Entropy: 0.499
Episode 133 | Loss: 21.408 | Policy: 1.264 | Value: 40.299 | Entropy: 0.563
Episode 134 | Loss: 27.793 | Policy: 0.936 | Value: 53.724 | Entropy: 0.493
Episode 135 | Loss: 29.849 | Policy: 3.578 | Value: 52.549 | Entropy: 0.414
Episode 136 | Loss: 29.439 | Policy: 0.560 | Value: 57.769 | Entropy: 0.585
Episode 137 | Loss: 31.932 | Policy: 0.964 | Value: 61.947 | Entropy: 0.505
Episode 138 | Loss: 27.582 | Policy: 3.654 | Value: 47.863 | Entropy: 0.375
Episode 139 | Loss: 29.042 | Policy: 0.835 | Value: 56.416 | Entropy: 0.145
Episode 140 | Loss: 40.495 | Policy: 4.835 | Value: 71.321 | Entropy: 0.092
Episode 141 | Loss: 18.353 | Policy: 1.348 | Value: 34.011 | Entropy: 0.084
Episode 142 | Loss: 29.470 | Policy: 2.717 | Value: 53.508 | Entropy: 0.110
Episode 143 | Loss: 23.409 | Policy: 1.936 | Value: 42.950 | Entropy: 0.189
Episode 144 | Loss: 28.854 | Policy: 2.887 | Value: 51.940 | Entropy: 0.272
Episode 145 | Loss: 23.116 | Policy: 2.757 | Value: 40.723 | Entropy: 0.269
Episode 146 | Loss: 43.309 | Policy: 0.221 | Value: 86.181 | Entropy: 0.253
Episode 147 | Loss: 32.946 | Policy: 0.586 | Value: 64.725 | Entropy: 0.229
Episode 148 | Loss: 18.066 | Policy: 2.108 | Value: 31.921 | Entropy: 0.204
Episode 149 | Loss: 21.140 | Policy: 1.303 | Value: 39.679 | Entropy: 0.185
Episode 150 | Loss: 20.591 | Policy: 2.142 | Value: 36.901 | Entropy: 0.173
Episode 151 | Loss: 18.423 | Policy: 1.918 | Value: 33.013 | Entropy: 0.167
Episode 152 | Loss: 69.079 | Policy: 0.347 | Value: 137.467 | Entropy: 0.166
