Episode 93 | Loss: 0.009 | Policy: -0.189 | Value: 0.395 | Reward: -40.03
Episode 94 | Loss: 0.399 | Policy: -0.233 | Value: 1.265 | Reward: -30.03
Episode 95 | Loss: 0.173 | Policy: -0.260 | Value: 0.865 | Reward: -40.03
Episode 96 | Loss: -0.101 | Policy: -0.207 | Value: 0.212 | Reward: -50.03
Episode 97 | Loss: 0.072 | Policy: 0.034 | Value: 0.075 | Reward: -40.05
Episode 98 | Loss: 0.605 | Policy: 0.428 | Value: 0.354 | Reward: -50.03
Episode 99 | Loss: 0.522 | Policy: 0.381 | Value: 0.281 | Reward: -50.04
Episode 100 | Loss: -0.047 | Policy: -0.066 | Value: 0.039 | Reward: -40.03
Episode 101 | Loss: 0.084 | Policy: 0.066 | Value: 0.037 | Reward: -50.04
Episode 102 | Loss: -0.004 | Policy: -0.118 | Value: 0.227 | Reward: -40.03
Episode 103 | Loss: -0.058 | Policy: -0.080 | Value: 0.043 | Reward: -50.03
Episode 104 | Loss: -0.005 | Policy: -0.016 | Value: 0.021 | Reward: -40.03
Episode 105 | Loss: 0.964 | Policy: 0.660 | Value: 0.609 | Reward: -50.03
Episode 106 | Loss: 0.543 | Policy: 0.412 | Value: 0.263 | Reward: -30.04
Episode 107 | Loss: 0.746 | Policy: 0.537 | Value: 0.419 | Reward: -40.03
Episode 108 | Loss: 0.236 | Policy: 0.196 | Value: 0.081 | Reward: -40.04
Episode 109 | Loss: 0.087 | Policy: -0.038 | Value: 0.251 | Reward: -40.04
Episode 110 | Loss: 0.214 | Policy: -0.095 | Value: 0.617 | Reward: -40.03
Episode 111 | Loss: 0.018 | Policy: -0.066 | Value: 0.169 | Reward: -50.03
Episode 112 | Loss: 0.377 | Policy: -0.039 | Value: 0.833 | Reward: -20.04
Episode 113 | Loss: 0.669 | Policy: 0.496 | Value: 0.347 | Reward: -50.04
Episode 114 | Loss: 1.039 | Policy: 0.699 | Value: 0.680 | Reward: -50.03
Episode 115 | Loss: 1.474 | Policy: 0.912 | Value: 1.123 | Reward: -60.04
Episode 116 | Loss: 0.341 | Policy: 0.283 | Value: 0.115 | Reward: -50.05
Episode 117 | Loss: 0.240 | Policy: -0.106 | Value: 0.692 | Reward: -30.05
Episode 118 | Loss: 0.205 | Policy: -0.171 | Value: 0.752 | Reward: -40.04
Episode 119 | Loss: 0.154 | Policy: -0.171 | Value: 0.650 | Reward: -40.03
Episode 120 | Loss: -0.010 | Policy: -0.112 | Value: 0.204 | Reward: -40.03
Episode 121 | Loss: 0.417 | Policy: 0.328 | Value: 0.179 | Reward: -50.03
Episode 122 | Loss: 0.760 | Policy: 0.537 | Value: 0.445 | Reward: -50.03
Episode 123 | Loss: 0.230 | Policy: 0.182 | Value: 0.095 | Reward: -30.04
Episode 124 | Loss: 0.214 | Policy: 0.174 | Value: 0.080 | Reward: -50.03
Episode 125 | Loss: 0.269 | Policy: -0.144 | Value: 0.824 | Reward: -20.04
Episode 126 | Loss: -0.125 | Policy: -0.215 | Value: 0.180 | Reward: -60.03
Episode 127 | Loss: 0.111 | Policy: -0.199 | Value: 0.620 | Reward: -40.05
Episode 128 | Loss: -0.082 | Policy: -0.116 | Value: 0.068 | Reward: -50.03
Episode 129 | Loss: 0.188 | Policy: 0.158 | Value: 0.059 | Reward: -40.03
Episode 130 | Loss: 0.796 | Policy: 0.561 | Value: 0.469 | Reward: -50.03
