Episode 100 | Loss: 0.246 | Policy: 0.172 | Value: 0.148 | Reward: -1300.26
Episode 101 | Loss: 8.703 | Policy: -1.242 | Value: 19.890 | Reward: -1300.26
Episode 102 | Loss: 7.693 | Policy: -1.177 | Value: 17.741 | Reward: -1300.26
Episode 103 | Loss: 0.545 | Policy: 0.386 | Value: 0.318 | Reward: -1300.36
Episode 104 | Loss: 0.241 | Policy: 0.173 | Value: 0.136 | Reward: -1300.26
Episode 105 | Loss: 8.712 | Policy: -1.234 | Value: 19.893 | Reward: -1300.26
Episode 106 | Loss: 7.722 | Policy: -1.172 | Value: 17.788 | Reward: -1300.26
Episode 107 | Loss: 0.516 | Policy: 0.370 | Value: 0.291 | Reward: -1300.26
Episode 108 | Loss: 0.220 | Policy: 0.160 | Value: 0.121 | Reward: -1300.26
Episode 109 | Loss: 8.723 | Policy: -1.226 | Value: 19.898 | Reward: -1300.26
Episode 110 | Loss: 7.707 | Policy: -1.161 | Value: 17.736 | Reward: -1300.26
Episode 111 | Loss: 0.526 | Policy: 0.381 | Value: 0.291 | Reward: -1300.26
Episode 112 | Loss: 0.230 | Policy: 0.172 | Value: 0.117 | Reward: -1300.26
Episode 113 | Loss: 8.703 | Policy: -1.216 | Value: 19.838 | Reward: -1300.26
Episode 114 | Loss: 7.709 | Policy: -1.153 | Value: 17.724 | Reward: -1300.26
Episode 115 | Loss: 0.508 | Policy: 0.371 | Value: 0.273 | Reward: -1300.26
Episode 116 | Loss: 0.207 | Policy: 0.156 | Value: 0.103 | Reward: -1300.26
Episode 117 | Loss: 8.756 | Policy: -1.216 | Value: 19.944 | Reward: -1300.29
Episode 118 | Loss: 7.765 | Policy: -1.157 | Value: 17.844 | Reward: -1300.26
Episode 119 | Loss: 0.466 | Policy: 0.343 | Value: 0.246 | Reward: -1300.26
Episode 120 | Loss: 0.183 | Policy: 0.135 | Value: 0.096 | Reward: -1300.26
Episode 121 | Loss: 8.744 | Policy: -1.211 | Value: 19.910 | Reward: -1300.26
Episode 122 | Loss: 7.717 | Policy: -1.143 | Value: 17.720 | Reward: -1300.26
Episode 123 | Loss: 0.501 | Policy: 0.371 | Value: 0.261 | Reward: -1300.26
Episode 124 | Loss: 0.216 | Policy: 0.167 | Value: 0.099 | Reward: -1300.26
Episode 125 | Loss: 8.657 | Policy: -1.195 | Value: 19.704 | Reward: -1300.26
Episode 126 | Loss: 7.667 | Policy: -1.134 | Value: 17.602 | Reward: -1300.26
Episode 127 | Loss: 0.492 | Policy: 0.366 | Value: 0.252 | Reward: -1300.26
Episode 128 | Loss: 0.204 | Policy: 0.158 | Value: 0.092 | Reward: -1300.26
Episode 129 | Loss: 8.643 | Policy: -1.191 | Value: 19.669 | Reward: -1300.26
Episode 130 | Loss: 7.643 | Policy: -1.128 | Value: 17.542 | Reward: -1300.26
Episode 131 | Loss: 0.498 | Policy: 0.370 | Value: 0.254 | Reward: -1300.26
Episode 132 | Loss: 0.211 | Policy: 0.165 | Value: 0.092 | Reward: -1300.26
Episode 133 | Loss: 8.595 | Policy: -1.183 | Value: 19.556 | Reward: -1300.26
Episode 134 | Loss: 7.600 | Policy: -1.120 | Value: 17.440 | Reward: -1300.26
Episode 135 | Loss: 0.504 | Policy: 0.376 | Value: 0.257 | Reward: -1300.26
Episode 136 | Loss: 0.212 | Policy: 0.166 | Value: 0.091 | Reward: -1300.26
Episode 137 | Loss: 8.574 | Policy: -1.180 | Value: 19.507 | Reward: -1300.26
Episode 138 | Loss: 7.590 | Policy: -1.119 | Value: 17.419 | Reward: -1300.26
Episode 139 | Loss: 0.485 | Policy: 0.363 | Value: 0.244 | Reward: -1300.26
Episode 140 | Loss: 0.199 | Policy: 0.155 | Value: 0.087 | Reward: -1300.26
Episode 141 | Loss: 8.540 | Policy: -1.178 | Value: 19.434 | Reward: -1300.26
Episode 142 | Loss: 7.545 | Policy: -1.114 | Value: 17.316 | Reward: -1300.26
Episode 143 | Loss: 0.500 | Policy: 0.374 | Value: 0.252 | Reward: -1300.26
Episode 144 | Loss: 0.212 | Policy: 0.167 | Value: 0.089 | Reward: -1300.26
Episode 145 | Loss: 8.488 | Policy: -1.173 | Value: 19.321 | Reward: -1300.26
Episode 146 | Loss: 7.513 | Policy: -1.114 | Value: 17.253 | Reward: -1300.26
Episode 147 | Loss: 0.492 | Policy: 0.367 | Value: 0.251 | Reward: -1300.26
Episode 148 | Loss: 0.209 | Policy: 0.163 | Value: 0.092 | Reward: -1300.26
Episode 149 | Loss: 8.437 | Policy: -1.168 | Value: 19.210 | Reward: -1300.26
Episode 150 | Loss: 7.443 | Policy: -1.102 | Value: 17.091 | Reward: -1300.26
Episode 151 | Loss: 0.521 | Policy: 0.388 | Value: 0.266 | Reward: -1300.26
Episode 152 | Loss: 0.234 | Policy: 0.185 | Value: 0.097 | Reward: -1300.26
Episode 153 | Loss: 8.358 | Policy: -1.157 | Value: 19.030 | Reward: -1300.26
Episode 154 | Loss: 7.390 | Policy: -1.098 | Value: 16.976 | Reward: -1300.26
Episode 155 | Loss: 0.518 | Policy: 0.385 | Value: 0.265 | Reward: -1300.26
Episode 156 | Loss: 0.231 | Policy: 0.182 | Value: 0.098 | Reward: -1300.26
Episode 157 | Loss: 8.296 | Policy: -1.153 | Value: 18.897 | Reward: -1300.26
Episode 158 | Loss: 7.313 | Policy: -1.088 | Value: 16.802 | Reward: -1300.29
Episode 159 | Loss: 0.558 | Policy: 0.412 | Value: 0.292 | Reward: -1300.26
Episode 160 | Loss: 0.270 | Policy: 0.214 | Value: 0.114 | Reward: -1300.26
Episode 161 | Loss: 8.195 | Policy: -1.141 | Value: 18.673 | Reward: -1300.26
Episode 162 | Loss: 7.239 | Policy: -1.081 | Value: 16.640 | Reward: -1300.26
Episode 163 | Loss: 0.564 | Policy: 0.416 | Value: 0.297 | Reward: -1300.26
Episode 164 | Loss: 0.266 | Policy: 0.211 | Value: 0.111 | Reward: -1300.26
Episode 165 | Loss: 8.147 | Policy: -1.143 | Value: 18.581 | Reward: -1300.26
Episode 166 | Loss: 7.195 | Policy: -1.086 | Value: 16.561 | Reward: -1300.26
Episode 167 | Loss: 0.559 | Policy: 0.410 | Value: 0.297 | Reward: -1300.26
Episode 168 | Loss: 0.268 | Policy: 0.210 | Value: 0.117 | Reward: -1300.29
Episode 169 | Loss: 8.071 | Policy: -1.141 | Value: 18.425 | Reward: -1300.26
Episode 170 | Loss: 7.115 | Policy: -1.080 | Value: 16.390 | Reward: -1300.26
Episode 171 | Loss: 0.576 | Policy: 0.421 | Value: 0.310 | Reward: -1300.26
Episode 172 | Loss: 0.283 | Policy: 0.221 | Value: 0.124 | Reward: -1300.26
Episode 173 | Loss: 7.994 | Policy: -1.135 | Value: 18.259 | Reward: -1300.26
Episode 174 | Loss: 7.046 | Policy: -1.074 | Value: 16.241 | Reward: -1300.26
Episode 175 | Loss: 0.591 | Policy: 0.431 | Value: 0.321 | Reward: -1300.26
Episode 176 | Loss: 0.295 | Policy: 0.230 | Value: 0.129 | Reward: -1300.26
Episode 177 | Loss: 7.925 | Policy: -1.130 | Value: 18.110 | Reward: -1300.26
Episode 178 | Loss: 6.984 | Policy: -1.069 | Value: 16.106 | Reward: -1300.26
Episode 179 | Loss: 0.604 | Policy: 0.439 | Value: 0.331 | Reward: -1300.26
Episode 180 | Loss: 0.306 | Policy: 0.238 | Value: 0.135 | Reward: -1300.26
Episode 181 | Loss: 7.860 | Policy: -1.125 | Value: 17.971 | Reward: -1300.26
Episode 182 | Loss: 6.925 | Policy: -1.065 | Value: 15.979 | Reward: -1300.26
Episode 183 | Loss: 0.616 | Policy: 0.446 | Value: 0.340 | Reward: -1300.26
Episode 184 | Loss: 0.316 | Policy: 0.246 | Value: 0.140 | Reward: -1300.26
Episode 185 | Loss: 7.798 | Policy: -1.121 | Value: 17.837 | Reward: -1300.26
Episode 186 | Loss: 6.869 | Policy: -1.060 | Value: 15.857 | Reward: -1300.26
Episode 187 | Loss: 0.627 | Policy: 0.453 | Value: 0.348 | Reward: -1300.26
Episode 188 | Loss: 0.326 | Policy: 0.253 | Value: 0.145 | Reward: -1300.26
Episode 189 | Loss: 7.737 | Policy: -1.116 | Value: 17.707 | Reward: -1300.26
Episode 190 | Loss: 6.813 | Policy: -1.056 | Value: 15.737 | Reward: -1300.26
Episode 191 | Loss: 0.639 | Policy: 0.460 | Value: 0.357 | Reward: -1300.26
Episode 192 | Loss: 0.335 | Policy: 0.260 | Value: 0.150 | Reward: -1300.26
Episode 193 | Loss: 7.677 | Policy: -1.112 | Value: 17.577 | Reward: -1300.26
Episode 194 | Loss: 6.758 | Policy: -1.051 | Value: 15.618 | Reward: -1300.26
Episode 195 | Loss: 0.650 | Policy: 0.467 | Value: 0.366 | Reward: -1300.26
Episode 196 | Loss: 0.345 | Policy: 0.267 | Value: 0.156 | Reward: -1300.26
Episode 197 | Loss: 7.618 | Policy: -1.107 | Value: 17.451 | Reward: -1300.26
Episode 198 | Loss: 6.704 | Policy: -1.047 | Value: 15.503 | Reward: -1300.26
Episode 199 | Loss: 0.660 | Policy: 0.473 | Value: 0.374 | Reward: -1300.26
Episode 200 | Loss: 0.354 | Policy: 0.274 | Value: 0.161 | Reward: -1300.26
Episode 201 | Loss: 7.560 | Policy: -1.103 | Value: 17.327 | Reward: -1300.26
Episode 202 | Loss: 6.651 | Policy: -1.043 | Value: 15.389 | Reward: -1300.26
Episode 203 | Loss: 0.671 | Policy: 0.480 | Value: 0.383 | Reward: -1300.26
Episode 204 | Loss: 0.364 | Policy: 0.281 | Value: 0.166 | Reward: -1300.26
Episode 205 | Loss: 7.501 | Policy: -1.099 | Value: 17.201 | Reward: -1300.26
Episode 206 | Loss: 6.597 | Policy: -1.039 | Value: 15.272 | Reward: -1300.26
Episode 207 | Loss: 0.683 | Policy: 0.487 | Value: 0.392 | Reward: -1300.26
Episode 208 | Loss: 0.374 | Policy: 0.288 | Value: 0.172 | Reward: -1300.26
Episode 209 | Loss: 7.442 | Policy: -1.095 | Value: 17.074 | Reward: -1300.26
