Episode 106 | Loss: 4.258 | Policy: 1.842 | Value: 4.832 | Reward: -1300.31
Episode 107 | Loss: 5.843 | Policy: 2.242 | Value: 7.202 | Reward: -1050.34
Episode 108 | Loss: 5.219 | Policy: 2.099 | Value: 6.239 | Reward: -1300.31
Episode 109 | Loss: 1.071 | Policy: 0.698 | Value: 0.745 | Reward: -1300.31
Episode 110 | Loss: 1.190 | Policy: -0.539 | Value: 3.458 | Reward: -1300.31
Episode 111 | Loss: 3.869 | Policy: -0.840 | Value: 9.417 | Reward: -1300.31
Episode 112 | Loss: 3.553 | Policy: -0.809 | Value: 8.724 | Reward: -1300.31
Episode 113 | Loss: 0.877 | Policy: -0.481 | Value: 2.714 | Reward: -1300.31
Episode 114 | Loss: 0.920 | Policy: 0.623 | Value: 0.595 | Reward: -1300.31
Episode 115 | Loss: 2.869 | Policy: 1.423 | Value: 2.892 | Reward: -1300.31
Episode 116 | Loss: 2.022 | Policy: 1.118 | Value: 1.807 | Reward: -1300.31
Episode 117 | Loss: -0.075 | Policy: -0.110 | Value: 0.071 | Reward: -1300.31
Episode 118 | Loss: -0.074 | Policy: -0.157 | Value: 0.166 | Reward: -1300.31
Episode 119 | Loss: 0.387 | Policy: 0.304 | Value: 0.165 | Reward: -1050.29
Episode 120 | Loss: 0.461 | Policy: 0.353 | Value: 0.216 | Reward: -1300.31
Episode 121 | Loss: 0.208 | Policy: -0.314 | Value: 1.044 | Reward: -1300.31
Episode 122 | Loss: 0.279 | Policy: -0.335 | Value: 1.228 | Reward: -1300.31
Episode 123 | Loss: 0.034 | Policy: 0.019 | Value: 0.031 | Reward: -1300.31
Episode 124 | Loss: -0.055 | Policy: -0.082 | Value: 0.054 | Reward: -1300.31
Episode 125 | Loss: 1.134 | Policy: 0.734 | Value: 0.799 | Reward: -1300.31
Episode 126 | Loss: 0.698 | Policy: 0.502 | Value: 0.393 | Reward: -1300.31
Episode 127 | Loss: 0.466 | Policy: -0.246 | Value: 1.423 | Reward: -1050.29
Episode 128 | Loss: 0.174 | Policy: -0.291 | Value: 0.929 | Reward: -1300.31
Episode 129 | Loss: 0.157 | Policy: 0.130 | Value: 0.055 | Reward: -1300.31
Episode 130 | Loss: -0.005 | Policy: -0.019 | Value: 0.029 | Reward: -1300.31
Episode 131 | Loss: 1.328 | Policy: 0.828 | Value: 1.000 | Reward: -1300.31
Episode 132 | Loss: 0.847 | Policy: 0.587 | Value: 0.520 | Reward: -1300.31
Episode 133 | Loss: 0.062 | Policy: -0.239 | Value: 0.601 | Reward: -1300.31
Episode 134 | Loss: 0.124 | Policy: -0.265 | Value: 0.778 | Reward: -1300.31
Episode 135 | Loss: 0.236 | Policy: 0.194 | Value: 0.084 | Reward: -1300.31
Episode 136 | Loss: 0.042 | Policy: 0.028 | Value: 0.027 | Reward: -1300.31
Episode 137 | Loss: 0.553 | Policy: -0.386 | Value: 1.878 | Reward: -1300.31
Episode 138 | Loss: 0.607 | Policy: -0.398 | Value: 2.010 | Reward: -1300.31
Episode 139 | Loss: 0.070 | Policy: -0.119 | Value: 0.378 | Reward: -1050.29
Episode 140 | Loss: 3.712 | Policy: 1.693 | Value: 4.038 | Reward: -1300.31
Episode 141 | Loss: 6.390 | Policy: 2.391 | Value: 7.999 | Reward: -1300.31
Episode 142 | Loss: 4.787 | Policy: 1.995 | Value: 5.584 | Reward: -1300.31
Episode 143 | Loss: 0.897 | Policy: 0.615 | Value: 0.563 | Reward: -1300.31
Episode 144 | Loss: 1.349 | Policy: -0.527 | Value: 3.752 | Reward: -1300.31
Episode 145 | Loss: 4.067 | Policy: -0.825 | Value: 9.784 | Reward: -1300.31
Episode 146 | Loss: 3.700 | Policy: -0.793 | Value: 8.985 | Reward: -1300.31
Episode 147 | Loss: 0.947 | Policy: -0.463 | Value: 2.819 | Reward: -1300.31
Episode 148 | Loss: 0.877 | Policy: 0.604 | Value: 0.545 | Reward: -1300.31
Episode 149 | Loss: 2.822 | Policy: 1.412 | Value: 2.820 | Reward: -1300.31
Episode 150 | Loss: 2.005 | Policy: 1.116 | Value: 1.777 | Reward: -1300.31
Episode 151 | Loss: -0.056 | Policy: -0.086 | Value: 0.061 | Reward: -1300.31
Episode 152 | Loss: -0.059 | Policy: -0.134 | Value: 0.148 | Reward: -1300.31
Episode 153 | Loss: 0.850 | Policy: 0.590 | Value: 0.520 | Reward: -1300.31
Episode 154 | Loss: 0.491 | Policy: 0.377 | Value: 0.229 | Reward: -1300.31
Episode 155 | Loss: 0.198 | Policy: -0.289 | Value: 0.973 | Reward: -1300.31
Episode 156 | Loss: 0.261 | Policy: -0.309 | Value: 1.140 | Reward: -1300.31
Episode 157 | Loss: 0.068 | Policy: 0.054 | Value: 0.028 | Reward: -1300.31
Episode 158 | Loss: -0.033 | Policy: -0.051 | Value: 0.036 | Reward: -1300.31
Episode 159 | Loss: 1.208 | Policy: 0.773 | Value: 0.870 | Reward: -1300.31
Episode 160 | Loss: 0.765 | Policy: 0.543 | Value: 0.445 | Reward: -1300.31
Episode 161 | Loss: 0.085 | Policy: -0.243 | Value: 0.657 | Reward: -1300.31
Episode 162 | Loss: 0.144 | Policy: -0.268 | Value: 0.824 | Reward: -1300.31
Episode 163 | Loss: 0.029 | Policy: 0.005 | Value: 0.048 | Reward: -1050.29
Episode 164 | Loss: 4.993 | Policy: 2.049 | Value: 5.887 | Reward: -1300.31
Episode 165 | Loss: 7.854 | Policy: 2.713 | Value: 10.282 | Reward: -1300.31
Episode 166 | Loss: 5.957 | Policy: 2.289 | Value: 7.335 | Reward: -1300.31
Episode 167 | Loss: 1.453 | Policy: 0.886 | Value: 1.133 | Reward: -1300.31
Episode 168 | Loss: 0.890 | Policy: -0.454 | Value: 2.688 | Reward: -1300.31
Episode 169 | Loss: 3.308 | Policy: -0.758 | Value: 8.132 | Reward: -1300.31
Episode 170 | Loss: 3.032 | Policy: -0.731 | Value: 7.527 | Reward: -1300.31
Episode 171 | Loss: 0.641 | Policy: -0.408 | Value: 2.098 | Reward: -1300.31
Episode 172 | Loss: 1.224 | Policy: 0.781 | Value: 0.887 | Reward: -1300.31
Episode 173 | Loss: 3.318 | Policy: 1.573 | Value: 3.491 | Reward: -1300.31
Episode 174 | Loss: 2.402 | Policy: 1.265 | Value: 2.274 | Reward: -1300.31
Episode 175 | Loss: -0.003 | Policy: -0.014 | Value: 0.023 | Reward: -1300.31
Episode 176 | Loss: -0.063 | Policy: -0.094 | Value: 0.061 | Reward: -1300.31
Episode 177 | Loss: 1.084 | Policy: 0.712 | Value: 0.743 | Reward: -1300.31
Episode 178 | Loss: 0.678 | Policy: 0.493 | Value: 0.370 | Reward: -1300.31
Episode 179 | Loss: 0.466 | Policy: -0.237 | Value: 1.407 | Reward: -1050.29
Episode 180 | Loss: 0.167 | Policy: -0.277 | Value: 0.889 | Reward: -1300.31
Episode 181 | Loss: 0.180 | Policy: 0.152 | Value: 0.057 | Reward: -1300.31
Episode 182 | Loss: 0.014 | Policy: 0.004 | Value: 0.021 | Reward: -1300.31
Episode 183 | Loss: 1.396 | Policy: 0.862 | Value: 1.069 | Reward: -1300.31
Episode 184 | Loss: 0.919 | Policy: 0.628 | Value: 0.581 | Reward: -1300.31
Episode 185 | Loss: 0.045 | Policy: -0.210 | Value: 0.510 | Reward: -1300.31
Episode 186 | Loss: 0.099 | Policy: -0.233 | Value: 0.664 | Reward: -1300.31
Episode 187 | Loss: 0.312 | Policy: 0.254 | Value: 0.115 | Reward: -1300.31
Episode 188 | Loss: 0.102 | Policy: 0.086 | Value: 0.032 | Reward: -1300.31
Episode 189 | Loss: 1.026 | Policy: -0.310 | Value: 2.672 | Reward: -1050.29
Episode 190 | Loss: 0.529 | Policy: -0.357 | Value: 1.773 | Reward: -1300.31
Episode 191 | Loss: -0.026 | Policy: -0.050 | Value: 0.048 | Reward: -1300.31
Episode 192 | Loss: 3.944 | Policy: 1.765 | Value: 4.358 | Reward: -1300.31
Episode 193 | Loss: 6.686 | Policy: 2.462 | Value: 8.448 | Reward: -1300.31
Episode 194 | Loss: 5.060 | Policy: 2.070 | Value: 5.980 | Reward: -1300.31
Episode 195 | Loss: 1.048 | Policy: 0.697 | Value: 0.703 | Reward: -1300.31
Episode 196 | Loss: 1.201 | Policy: -0.480 | Value: 3.362 | Reward: -1300.31
Episode 197 | Loss: 5.013 | Policy: -0.654 | Value: 11.333 | Reward: -1050.29
Episode 198 | Loss: 3.425 | Policy: -0.743 | Value: 8.336 | Reward: -1300.31
Episode 199 | Loss: 0.821 | Policy: -0.414 | Value: 2.472 | Reward: -1300.31
Episode 200 | Loss: 1.040 | Policy: 0.693 | Value: 0.695 | Reward: -1300.31
Episode 201 | Loss: 3.073 | Policy: 1.499 | Value: 3.150 | Reward: -1300.31
