H:\AI Course\GNN_VRP\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 167 | Loss: 28.250 | Policy: 2.085 | Value: 52.330 | Entropy: 0.000
Episode 168 | Loss: 29.482 | Policy: 2.550 | Value: 53.863 | Entropy: 0.000
Episode 169 | Loss: 24.944 | Policy: 1.328 | Value: 47.231 | Entropy: 0.000
Episode 170 | Loss: 36.278 | Policy: 0.811 | Value: 70.935 | Entropy: 0.000
Episode 171 | Loss: 37.469 | Policy: 4.140 | Value: 66.660 | Entropy: 0.000
Episode 172 | Loss: 30.367 | Policy: 2.955 | Value: 54.823 | Entropy: 0.000
Episode 173 | Loss: 25.032 | Policy: 2.472 | Value: 45.121 | Entropy: 0.000
Episode 174 | Loss: 48.184 | Policy: 4.519 | Value: 87.329 | Entropy: 0.000
Episode 175 | Loss: 25.690 | Policy: 1.068 | Value: 49.245 | Entropy: 0.000
Episode 176 | Loss: 30.792 | Policy: 0.682 | Value: 60.220 | Entropy: 0.000
Episode 177 | Loss: 28.609 | Policy: 0.913 | Value: 55.392 | Entropy: 0.000
Episode 178 | Loss: 33.552 | Policy: 0.465 | Value: 66.174 | Entropy: 0.000
Episode 179 | Loss: 26.565 | Policy: 1.658 | Value: 49.814 | Entropy: 0.000
Episode 180 | Loss: 25.579 | Policy: 2.156 | Value: 46.846 | Entropy: 0.000
Episode 181 | Loss: 24.595 | Policy: 2.287 | Value: 44.616 | Entropy: 0.000
Episode 182 | Loss: 52.465 | Policy: 6.021 | Value: 92.888 | Entropy: 0.000
Episode 183 | Loss: 42.736 | Policy: 5.111 | Value: 75.251 | Entropy: 0.000
Episode 184 | Loss: 28.352 | Policy: 2.427 | Value: 51.849 | Entropy: 0.000
Episode 185 | Loss: 49.850 | Policy: 0.158 | Value: 99.383 | Entropy: 0.000
Episode 186 | Loss: 20.963 | Policy: 1.870 | Value: 38.186 | Entropy: 0.000
Episode 187 | Loss: 25.210 | Policy: 1.609 | Value: 47.201 | Entropy: 0.000
Episode 188 | Loss: 36.964 | Policy: 0.340 | Value: 73.247 | Entropy: 0.000
Episode 189 | Loss: 24.882 | Policy: 1.877 | Value: 46.009 | Entropy: 0.000
Episode 190 | Loss: 23.009 | Policy: 1.623 | Value: 42.772 | Entropy: 0.000
Episode 191 | Loss: 34.995 | Policy: 4.211 | Value: 61.569 | Entropy: 0.000
Episode 192 | Loss: 35.902 | Policy: 4.349 | Value: 63.106 | Entropy: 0.000
Episode 193 | Loss: 28.838 | Policy: 2.578 | Value: 52.520 | Entropy: 0.000
Episode 194 | Loss: 36.890 | Policy: 4.209 | Value: 65.361 | Entropy: 0.000
Episode 195 | Loss: 27.369 | Policy: 0.664 | Value: 53.410 | Entropy: 0.000
Episode 196 | Loss: 31.350 | Policy: 0.472 | Value: 61.758 | Entropy: 0.000
Episode 197 | Loss: 29.059 | Policy: 1.756 | Value: 54.606 | Entropy: 0.000
Episode 198 | Loss: 21.642 | Policy: 1.313 | Value: 40.657 | Entropy: 0.000
Episode 199 | Loss: 25.963 | Policy: 1.114 | Value: 49.697 | Entropy: 0.000
Episode 200 | Loss: 32.841 | Policy: 1.659 | Value: 62.363 | Entropy: 0.000
Episode 201 | Loss: 37.425 | Policy: 4.516 | Value: 65.819 | Entropy: 0.000
Episode 202 | Loss: 27.077 | Policy: 2.394 | Value: 49.366 | Entropy: 0.000
Episode 203 | Loss: 24.044 | Policy: 2.247 | Value: 43.594 | Entropy: 0.000
Episode 204 | Loss: 30.297 | Policy: 3.035 | Value: 54.523 | Entropy: 0.000
Episode 205 | Loss: 40.108 | Policy: 4.828 | Value: 70.560 | Entropy: 0.000
Episode 206 | Loss: 29.123 | Policy: 0.758 | Value: 56.729 | Entropy: 0.000
Episode 207 | Loss: 29.782 | Policy: 0.686 | Value: 58.191 | Entropy: 0.000
Episode 208 | Loss: 26.380 | Policy: 1.028 | Value: 50.704 | Entropy: 0.000
Episode 209 | Loss: 30.604 | Policy: 0.511 | Value: 60.185 | Entropy: 0.000
Episode 210 | Loss: 28.329 | Policy: 2.949 | Value: 50.760 | Entropy: 0.000
Episode 211 | Loss: 20.720 | Policy: 1.573 | Value: 38.294 | Entropy: 0.000
Episode 212 | Loss: 27.508 | Policy: 3.462 | Value: 48.091 | Entropy: 0.000
Episode 213 | Loss: 31.511 | Policy: 3.411 | Value: 56.200 | Entropy: 0.000
Episode 214 | Loss: 38.569 | Policy: 4.837 | Value: 67.463 | Entropy: 0.000
Episode 215 | Loss: 35.198 | Policy: 4.176 | Value: 62.044 | Entropy: 0.000
Episode 216 | Loss: 26.663 | Policy: 1.041 | Value: 51.244 | Entropy: 0.000
Episode 217 | Loss: 30.267 | Policy: 0.859 | Value: 58.815 | Entropy: 0.000
Episode 218 | Loss: 34.218 | Policy: 0.504 | Value: 67.429 | Entropy: 0.000
Episode 219 | Loss: 24.890 | Policy: 0.891 | Value: 47.997 | Entropy: 0.000
Episode 220 | Loss: 28.423 | Policy: 1.450 | Value: 53.945 | Entropy: 0.000
Episode 221 | Loss: 34.017 | Policy: 3.361 | Value: 61.312 | Entropy: 0.000
Episode 222 | Loss: 30.248 | Policy: 2.724 | Value: 55.048 | Entropy: 0.000
Episode 223 | Loss: 43.095 | Policy: 4.818 | Value: 76.555 | Entropy: 0.000
Episode 224 | Loss: 36.792 | Policy: 4.373 | Value: 64.838 | Entropy: 0.000
Episode 225 | Loss: 26.070 | Policy: 0.958 | Value: 50.225 | Entropy: 0.000
Episode 226 | Loss: 26.532 | Policy: 1.431 | Value: 50.202 | Entropy: 0.000
Episode 227 | Loss: 29.506 | Policy: 0.796 | Value: 57.422 | Entropy: 0.000
Episode 228 | Loss: 42.247 | Policy: 0.356 | Value: 83.783 | Entropy: 0.000
Episode 229 | Loss: 26.603 | Policy: 0.561 | Value: 52.084 | Entropy: 0.000
Episode 230 | Loss: 35.960 | Policy: 4.067 | Value: 63.787 | Entropy: 0.000
Episode 231 | Loss: 39.934 | Policy: 4.623 | Value: 70.623 | Entropy: 0.000
Episode 232 | Loss: 49.190 | Policy: 5.879 | Value: 86.622 | Entropy: 0.000
Episode 233 | Loss: 30.491 | Policy: 2.889 | Value: 55.205 | Entropy: 0.000
Episode 234 | Loss: 22.377 | Policy: 1.219 | Value: 42.317 | Entropy: 0.000
Episode 235 | Loss: 24.079 | Policy: 1.136 | Value: 45.887 | Entropy: 0.000
Episode 236 | Loss: 29.921 | Policy: 0.320 | Value: 59.200 | Entropy: 0.000
Episode 237 | Loss: 36.578 | Policy: 0.557 | Value: 72.042 | Entropy: 0.000
Episode 238 | Loss: 23.372 | Policy: 2.004 | Value: 42.735 | Entropy: 0.000
Episode 239 | Loss: 25.944 | Policy: 2.839 | Value: 46.210 | Entropy: 0.000
Episode 240 | Loss: 35.014 | Policy: 4.039 | Value: 61.951 | Entropy: 0.000
Episode 241 | Loss: 25.603 | Policy: 2.812 | Value: 45.582 | Entropy: 0.000
Episode 242 | Loss: 26.100 | Policy: 1.626 | Value: 48.948 | Entropy: 0.000
Episode 243 | Loss: 26.528 | Policy: 2.696 | Value: 47.662 | Entropy: 0.000
Episode 244 | Loss: 35.599 | Policy: 0.676 | Value: 69.846 | Entropy: 0.000
Episode 245 | Loss: 39.835 | Policy: 1.145 | Value: 77.380 | Entropy: 0.000
Episode 246 | Loss: 24.786 | Policy: 2.045 | Value: 45.482 | Entropy: 0.000
Episode 247 | Loss: 28.018 | Policy: 2.767 | Value: 50.502 | Entropy: 0.000
Episode 248 | Loss: 28.688 | Policy: 3.575 | Value: 50.227 | Entropy: 0.000
Episode 249 | Loss: 29.502 | Policy: 0.628 | Value: 57.748 | Entropy: 0.000
Episode 250 | Loss: 20.609 | Policy: 1.989 | Value: 37.240 | Entropy: 0.000
Episode 251 | Loss: 26.170 | Policy: 3.077 | Value: 46.187 | Entropy: 0.000
Episode 252 | Loss: 33.036 | Policy: 3.648 | Value: 58.776 | Entropy: 0.000
Episode 253 | Loss: 21.677 | Policy: 0.897 | Value: 41.559 | Entropy: 0.000
Episode 254 | Loss: 27.842 | Policy: 1.084 | Value: 53.514 | Entropy: 0.000
Episode 255 | Loss: 20.814 | Policy: 1.061 | Value: 39.505 | Entropy: 0.000
Episode 256 | Loss: 31.546 | Policy: 0.764 | Value: 61.563 | Entropy: 0.000
Episode 257 | Loss: 28.509 | Policy: 3.150 | Value: 50.717 | Entropy: 0.000
Episode 258 | Loss: 27.872 | Policy: 3.161 | Value: 49.423 | Entropy: 0.000
Episode 259 | Loss: 26.169 | Policy: 3.339 | Value: 45.660 | Entropy: 0.000
Episode 260 | Loss: 21.968 | Policy: 1.970 | Value: 39.996 | Entropy: 0.000
Episode 261 | Loss: 25.968 | Policy: 0.780 | Value: 50.376 | Entropy: 0.000
Episode 262 | Loss: 19.941 | Policy: 1.412 | Value: 37.059 | Entropy: 0.000
Episode 263 | Loss: 27.159 | Policy: 2.032 | Value: 50.255 | Entropy: 0.000
Episode 264 | Loss: 27.150 | Policy: 2.950 | Value: 48.401 | Entropy: 0.000
Episode 265 | Loss: 22.150 | Policy: 1.587 | Value: 41.127 | Entropy: 0.000
Episode 266 | Loss: 32.368 | Policy: 0.360 | Value: 64.016 | Entropy: 0.000
Episode 267 | Loss: 25.622 | Policy: 2.282 | Value: 46.679 | Entropy: 0.000
Episode 268 | Loss: 28.486 | Policy: 3.052 | Value: 50.867 | Entropy: 0.000
Episode 269 | Loss: 48.502 | Policy: 5.920 | Value: 85.164 | Entropy: 0.000
Episode 270 | Loss: 21.805 | Policy: 1.707 | Value: 40.195 | Entropy: 0.000
Episode 271 | Loss: 23.639 | Policy: 0.967 | Value: 45.344 | Entropy: 0.000
Episode 272 | Loss: 23.474 | Policy: 1.078 | Value: 44.792 | Entropy: 0.000
Episode 273 | Loss: 20.838 | Policy: 1.263 | Value: 39.151 | Entropy: 0.000
Episode 274 | Loss: 20.489 | Policy: 1.881 | Value: 37.215 | Entropy: 0.000
Episode 275 | Loss: 28.833 | Policy: 0.986 | Value: 55.693 | Entropy: 0.000
Episode 276 | Loss: 24.202 | Policy: 1.159 | Value: 46.086 | Entropy: 0.000
Episode 277 | Loss: 25.029 | Policy: 2.038 | Value: 45.982 | Entropy: 0.000
Episode 278 | Loss: 44.686 | Policy: 5.217 | Value: 78.938 | Entropy: 0.000
Episode 279 | Loss: 26.456 | Policy: 1.949 | Value: 49.013 | Entropy: 0.000
Episode 280 | Loss: 25.348 | Policy: 2.546 | Value: 45.604 | Entropy: 0.000
Episode 281 | Loss: 24.035 | Policy: 0.866 | Value: 46.338 | Entropy: 0.000
Episode 282 | Loss: 26.390 | Policy: 1.324 | Value: 50.131 | Entropy: 0.000
Episode 283 | Loss: 20.570 | Policy: 1.744 | Value: 37.653 | Entropy: 0.000
Episode 284 | Loss: 29.659 | Policy: 1.056 | Value: 57.205 | Entropy: 0.000
Episode 285 | Loss: 27.113 | Policy: 1.988 | Value: 50.251 | Entropy: 0.000
Episode 286 | Loss: 32.727 | Policy: 2.756 | Value: 59.942 | Entropy: 0.000
Episode 287 | Loss: 43.655 | Policy: 5.189 | Value: 76.932 | Entropy: 0.000
Episode 288 | Loss: 23.120 | Policy: 0.917 | Value: 44.406 | Entropy: 0.000
Episode 289 | Loss: 24.447 | Policy: 1.362 | Value: 46.170 | Entropy: 0.000
Episode 290 | Loss: 20.768 | Policy: 1.804 | Value: 37.928 | Entropy: 0.000
Episode 291 | Loss: 30.942 | Policy: 0.643 | Value: 60.597 | Entropy: 0.000
Episode 292 | Loss: 22.225 | Policy: 1.369 | Value: 41.712 | Entropy: 0.000
Episode 293 | Loss: 22.197 | Policy: 1.179 | Value: 42.038 | Entropy: 0.000
