C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([3])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 116 | Loss: 0.375 | Policy: -0.002 | Value: 0.754 | Reward: -473.10
Episode 117 | Loss: 0.422 | Policy: 0.047 | Value: 0.750 | Reward: -476.85
Episode 118 | Loss: 0.456 | Policy: 0.080 | Value: 0.754 | Reward: -476.85
Episode 119 | Loss: 0.313 | Policy: -0.020 | Value: 0.667 | Reward: -486.85
Episode 120 | Loss: 0.376 | Policy: -0.001 | Value: 0.754 | Reward: -476.85
Episode 121 | Loss: 0.371 | Policy: -0.006 | Value: 0.755 | Reward: -476.85
Episode 122 | Loss: 0.143 | Policy: -0.108 | Value: 0.502 | Reward: -496.85
Episode 123 | Loss: 0.415 | Policy: 0.138 | Value: 0.554 | Reward: -496.85
Episode 124 | Loss: 0.496 | Policy: 0.136 | Value: 0.719 | Reward: -486.85
Episode 125 | Loss: 0.449 | Policy: 0.099 | Value: 0.701 | Reward: -485.60
Episode 126 | Loss: 0.310 | Policy: -0.025 | Value: 0.669 | Reward: -483.11
Episode 127 | Loss: 0.430 | Policy: 0.026 | Value: 0.809 | Reward: -465.60
Episode 128 | Loss: 0.305 | Policy: -0.090 | Value: 0.790 | Reward: -476.85
Episode 129 | Loss: -0.113 | Policy: -0.453 | Value: 0.681 | Reward: -493.11
Episode 130 | Loss: 0.348 | Policy: -0.034 | Value: 0.763 | Reward: -476.85
Episode 131 | Loss: 0.435 | Policy: 0.059 | Value: 0.751 | Reward: -473.11
Episode 132 | Loss: 0.491 | Policy: 0.111 | Value: 0.762 | Reward: -476.85
Episode 133 | Loss: 0.384 | Policy: 0.043 | Value: 0.682 | Reward: -483.11
Episode 134 | Loss: 0.307 | Policy: -0.027 | Value: 0.667 | Reward: -486.85
Episode 135 | Loss: 0.362 | Policy: -0.016 | Value: 0.758 | Reward: -475.60
Episode 136 | Loss: 0.349 | Policy: -0.033 | Value: 0.763 | Reward: -475.60
